article_id,resol_correct_design_becky,,,,
Knott2018bank.018,cohort,,,,
Olivo2019tudy.014,cohort,,,,
Cleut2014bank.007,cross-sectional,,,,
Davie2018bank79-y,cohort,,,,
Day2015tudy0031,cohort,,,,
Gugge2016ants16.7,case-control,,,,
Malon2017mple7639,cross-sectional,,,,
Rudne2016urce0314,cross-sectional,,,,
Shwei2015hort.157,case-control,,,,
Al-Aj2018tors1097,cohort,,,,
Duart2017hods0071,case-control,,,,
Lindh2018tion8970,cohort,,,,
Lopha2017ings0288,cohort,,,,
Mulle2017tudy2467,cohort,,,,
Welsh2018bank0945,cohort,,,,
Sarka2018ants.009,cross-sectional,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
