article_id,article_id,,,,,,,Abboo2018bank0207,Abboo2018bank0207,Celis2018ants1651,Celis2018ants1651,Kim2017tudy.122,Kim2017tudy.122,Pacco2018bank26-8,Pacco2018bank26-8,Yaghj2018bank28-x,Yaghj2018bank28-x
title,title,,,,,,,The link between ankylosing spondylitis and oral health conditions: two nested case-control studies using data of the UK Biobank,The link between ankylosing spondylitis and oral health conditions: two nested case-control studies using data of the UK Biobank,"Associations of grip strength with cardiovascular, respiratory, and cancer outcomes and all cause mortality: prospective cohort study of half a million UK Biobank participants","Associations of grip strength with cardiovascular, respiratory, and cancer outcomes and all cause mortality: prospective cohort study of half a million UK Biobank participants",Adiposity and grip strength as long-term predictors of objectively measured physical activity in 93 015 adults: the UK Biobank study,Adiposity and grip strength as long-term predictors of objectively measured physical activity in 93<U+2009>015 adults: the UK Biobank study,Prior fragility fracture and risk of incident ischaemic cardiovascular events: results from UK Biobank,Prior fragility fracture and risk of incident ischaemic cardiovascular events: results from UK Biobank,Interactions of coffee consumption and postmenopausal hormone use in relation to breast cancer risk in UK Biobank,Interactions of coffee consumption and postmenopausal hormone use in relation to breast cancer risk in UK Biobank
initials,initials,,,,,,,MG,KD,MG,KD,MG,KD,MG,KD,MG,KD
designs,designs,,,,,,,Case-control,Case-control,Cohort,Cohort,Cohort,Cohort,Cohort,Cohort,Cohort,Cohort
predict,predict,,,,,,,,,,,,,,,,
strobe,strobe,,,,,,,ni,ni,ni,ni,ni,ni,ni,ni,ni,ni
strobe,strobe,,,,,,,,,,,,,,,,
strobe_ev,strobe_ev,,,,,,,,,,,,,,,,
strobe_cite,strobe_cite,,,,,,,,,,,,,,,,
reg,reg,,,,,,,ni,ni,ni,ni,ni,ni,ni,ni,ni,ni
reg_id,reg_id,,,,,,,,,,,,,,,,
reg_ev,reg_ev,,,,,,,,,,,,,,,,
var_id,var_id,,,,,,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
ukb_credit,ukb_credit,,,,,,,yes_almost,yes_almost,yes_exact,yes_exact,yes_exact,yes_exact,yes_exact,yes_exact,yes_exact,yes_exact
ukb_credit_ev,ukb_credit_ev,,,,,,,"""This research was conducted using the UK Biobank Resource""","""This research was conducted using the UK Biobank Resource""","""This research has been conducted using the UK Biobank resource""","""This research has been conducted using the UK Biobank resource""","""This research has been conducted using the UK Biobank Resource""","""This research has been conducted using the UK Biobank Resource""","""This research has been conducted using the UK Biobank Resource""","""This research has been conducted using the UK Biobank Resource""",This research has been conducted using the UK Biobank Resource.,"""This research has been conducted using the UK Biobank Resource."""
code,code,,,,,,,No,No,No,No,No,No,No,No,No,No
 1a,  ,,,,,,,Yes,Yes,Yes,Yes,No,No,No,No,No,No
