StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,article_id,title,initials,access_article,access_supp,design,design_ev,design_judg,design_judg_4_TEXT,design_judg_rat,comments
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Article ID  	copy and paste in the article ID from the 'id' column in the csv file 	close the csv file,Copy and paste the article's title,Your initials,Could you access: - Article (online version),Could you access: - The article's supplementary material,"What study designs do the authors state they used to analyse the UK Biobank data?   	search article & relevant supplementary material for all these terms: 'case' | 'nested' | 'sectional' | 'cohort' | 'prevalence' | 'prospective' | 'retrospective' | 'control' | 'group' | 'comparis') 	examine methods, results & relevant supplementary material 	check all the designs that the authors state they used to analyse the UK Biobank alone (they must use the exact terms in the options below)",Copy and paste in the authors statement(s) regarding their study designs.,"You reported that the authors did not state that they used a case-control, cross-sectional or cohort study design when describing one or more of their designs.       Please indicate which designs you think the authors used to analyse the UK Biobank based on the definitions provided above in Box 1. (Check all that apply) - Selected Choice","You reported that the authors did not state that they used a case-control, cross-sectional or cohort study design when describing one or more of their designs.       Please indicate which designs you think the authors used to analyse the UK Biobank based on the definitions provided above in Box 1. (Check all that apply) - Other (please specify) - Text",Please provide a rational for your response. You may copy and paste in evidence from the article to support your judgement.,Add any comments you have about this article here
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_5_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}"
2019-10-02 14:05:32,2019-10-02 14:24:43,IP Address,100,1150,True,2019-10-02 14:24:43,R_8dL1hvgBoOkolq1,anonymous,EN-GB,Emerg2015lity7008,Association of Cardiometabolic Multimorbidity With Mortality,MG,Yes,Yes,cohort,"We analyzed individual participant data in the Emerging Risk Factors Collaboration (ERFC) from 689 300 participants recruited during 1960 through 2007 into 91 prospective cohorts that have recorded mortality during prolonged follow-up. We compared the ERFC results with those from the UK Biobank, a prospective cohort study of 499 808 participants recruited during 2006 through 2010.",,,,Uses Cox proportional hazards regression models
2019-10-02 14:25:00,2019-10-02 14:28:09,IP Address,100,189,True,2019-10-02 14:28:10,R_Wk9EvetbTxKr6JX,anonymous,EN-GB,Gugge2015rder3556,Role of Educational Exposure in the Association Between Myopia and Birth Order,MG,Yes,Yes,cross-sectional,"Design, Setting, and Participants  Cross-sectional study of UK Biobank participants recruited from 2006 to 2010.",,,,
2019-10-02 14:28:12,2019-10-02 14:30:18,IP Address,100,125,True,2019-10-02 14:30:18,R_YceV7fUvDEH0GAh,anonymous,EN-GB,Cumbe2016tudy1778,"Visual Function, Social Position, and Health and Life Chances: The UK Biobank Study",MG,Yes,Yes,cross-sectional,A cross-sectional epidemiologic study was conducted using UK Biobank data from 6 regional centers in England and Wales.,,,,
2019-10-02 14:30:20,2019-10-02 14:33:40,IP Address,100,199,True,2019-10-02 14:33:40,R_2SqK6euIBefUQwN,anonymous,EN-GB,Firth2018rols0503,Association Between Muscular Strength and Cognition in People With Major Depression or Bipolar Disorder and Healthy Controls,MG,Yes,Yes,cross-sectional,"In a multicenter, population-based study conducted between February 13, 2005, and October 1, 2010, in the United Kingdom, cross-sectional analysis was conducted of baseline data from 110 067 participants in the UK Biobank.",,,,
2019-10-02 14:33:45,2019-10-02 14:40:28,IP Address,100,403,True,2019-10-02 14:40:29,R_2dtGg4i2sscXFsV,anonymous,EN-GB,Cook2019sign3829,The effect of personalised weight feedback on weight loss and health behaviours: Evidence from a regression discontinuity design,MG,Yes,Yes,cohort,this study focuses in on the effect of the BMI feedback on weight change at follow‐up,,,,Study uses a a regression‐discontinuity approach
2019-10-03 15:41:59,2019-10-03 15:53:14,IP Address,100,675,True,2019-10-03 15:53:14,R_3jeam82EdZ2el0D,anonymous,EN-GB,Emerg2015lity7008,Association of Cardiometabolic Multimorbidity With Mortality,kd,Yes,Yes,no_statement,,cohort,,"They obtained information about people and their exposures at baseline (history of diabetes, MI or stroke) and then assessed whether they died at follow up",
2019-10-03 15:53:22,2019-10-03 15:55:27,IP Address,100,124,True,2019-10-03 15:55:27,R_TiwDbotCTx0pX6F,anonymous,EN-GB,Gugge2015rder3556,Role of Educational Exposure in the Association Between Myopia and Birth Order,KD,Yes,Yes,cross-sectional,Cross-sectional study of UK Biobank participants recruited from 2006 to 2010.,,,,
2019-10-03 15:55:30,2019-10-03 15:58:52,IP Address,100,202,True,2019-10-03 15:58:53,R_OCk9BdT34bipSgN,anonymous,EN-GB,Cumbe2016tudy1778,"Visual Function, Social Position, and Health and Life Chances",KD,Yes,Yes,cross-sectional,A cross-sectional epidemiologic study was conducted using UK Biobank data from 6 regional centers in England and Wales,,,,
2019-10-03 15:58:56,2019-10-03 16:05:17,IP Address,100,380,True,2019-10-03 16:05:17,R_3HOM9oZHb41DNOG,anonymous,EN-GB,Firth2018rols0503,Association Between Muscular Strength and Cognition in People With Major Depression or Bipolar Disorder and Healthy Controls,KD,Yes,Yes,cross-sectional," In this cross-sectional analysis of a population-scale data set of 110 067 individuals, handgrip strength was significantly associated with all 5 domains of cognition in people with major depression and in healthy controls, independently of confounding factors. ",,,,
2019-10-03 16:05:23,2019-10-03 16:32:31,IP Address,100,1628,True,2019-10-03 16:32:32,R_1hASVLkKUSAKDpy,anonymous,EN-GB,Cook2019sign3829,The effect of personalised weight feedback on weight loss and health behaviours: Evidence from a regression discontinuity design,KD,Yes,Yes,no_statement,,cohort,,"""Using a regression‐discontinuity approach on a U.K. longitudinal dataset, this research analyses whether personalised weight feedback resulted in individuals losing weight over a period of between 2 and 7 years."" (Abstract) - they look at the effect of BMI feedback on weight change measured in follow up",
2019-10-29 11:03:44,2019-10-29 11:08:08,IP Address,100,264,True,2019-10-29 11:08:09,R_qwRv1DBiE1UaqZz,anonymous,EN-GB,McMen2018bank1375,Hormonal and reproductive factors and risk of upper gastrointestinal cancers in men: A prospective cohort study within the UK Biobank,M.G.,Yes,Not present,cohort,Hormonal and reproductive factors and risk of upper gastrointestinal cancers in men: A prospective cohort study within the UK Biobank,,,,
2019-10-29 11:08:16,2019-10-29 11:11:04,IP Address,100,167,True,2019-10-29 11:11:04,R_1obrHYTGwqI2eMZ,anonymous,EN-GB,Guo2018hort1394,Adiposity and breast cancer risk in postmenopausal women: Results from the UK Biobank prospective cohort,MG,Yes,Yes,cohort,Adiposity and breast cancer risk in postmenopausal women: Results from the UK Biobank prospective cohort,,,,
2019-10-29 11:11:11,2019-10-29 11:18:49,IP Address,100,457,True,2019-10-29 11:18:49,R_1ifUYXWDLminhMZ,anonymous,EN-GB,Harve2018hort3375,Calcium and Vitamin D Supplementation Are Not Associated With Risk of Incident Ischemic Cardiac Events or Death: Findings From the UK Biobank Cohort,MG,Yes,Not present,cohort,"The average follow‐up time was 7 years and the maximum 10 years. ",,,,
2019-10-29 11:18:59,2019-10-29 11:21:27,IP Address,100,147,True,2019-10-29 11:21:27,R_3MFEkGcrmtC8JsC,anonymous,EN-GB,Papag2019omen2359,Muscle mass measures and incident osteoporosis in a large cohort of postmenopausal women,MG,Yes,Present but not accessible,,,,,,
2019-10-29 11:22:03,2019-10-29 11:26:48,IP Address,100,285,True,2019-10-29 11:26:48,R_2asIJEEj9pbAQm0,anonymous,EN-GB,Papag2019omen2359,Muscle mass measures and incident osteoporosis in a large cohort of postmenopausal women,MG,Yes,Yes,cohort,"Over a median follow‐up of 6.75 (5th to 95th percentile interval, 1.53 to 8.37) years, 394 newly diagnosed cases of osteoporosis occurred, with 40 (10.2%) cases being associated with a pathological fracture.",,,,Already filled out a questionnaire for this so sorry if that messes things up. Didn't realise it stops me if I say the supporting information is not available. One file is available and another isn't.
2019-10-29 11:26:54,2019-10-29 11:32:43,IP Address,100,349,True,2019-10-29 11:32:44,R_2eWqgmJAKL6wHle,anonymous,EN-GB,Pacco2018bank26-8,Prior fragility fracture and risk of incident ischaemic cardiovascular events: results from UK Biobank,MG,Yes,Yes,cohort,"All study subjects were followed up until any ischaemic cardiovascular event, death or until 29th February 2016, yielding a mean follow-up time of 7 years and a maximum time of 10 years.",,,,Again one supporting doc may be unavailable
2019-10-29 11:32:50,2019-10-29 11:36:10,IP Address,100,200,True,2019-10-29 11:36:10,R_3Icc2oGXRSHfSfd,anonymous,EN-GB,Cassi2018ants61-8,"Accelerometer-derived physical activity in those with cardio-metabolic disease compared to healthy adults: a UK Biobank study of 52,556 participants",MG,Yes,Not present,cohort,"Using the largest accelerometer cohort to date, we aimed to investigate whether there is an association between disease status and accelerometer variables after a 5-year follow-up.",,,,
2019-10-29 11:36:13,2019-10-29 11:42:29,IP Address,100,376,True,2019-10-29 11:42:29,R_9RIMFg7z6JGL7UJ,anonymous,EN-GB,Dawes2014loss61-0,"Cigarette smoking, passive smoking, alcohol consumption, and hearing loss",MG,Yes,Not present,cross-sectional,"The objective of this large population-based cross-sectional study was to evaluate the association between smoking, passive smoking, alcohol consumption, and hearing loss.",,,,
2019-10-29 11:42:35,2019-10-29 11:45:59,IP Address,100,204,True,2019-10-29 11:45:59,R_1P0PDr1K4Y8XAm6,anonymous,EN-GB,Yaghj2018bank28-x,Interactions of coffee consumption and postmenopausal hormone use in relation to breast cancer risk in UK Biobank,MG,Yes,Not present,cohort,"In this prospective cohort of 126,182 women, 2,636 women developed breast cancer and 123,546 women remained cancer-free during the follow-up.",,,,
2019-10-29 11:46:04,2019-10-29 11:52:16,IP Address,100,372,True,2019-10-29 11:52:16,R_12ir7qHiFvK0Utd,anonymous,EN-GB,Kim2018risk84-x,"The combination of cardiorespiratory fitness and muscle strength, and mortality risk",MG,Yes,Yes,cohort,"This analysis is based on data from 70,913 men and women (832 all-cause, 177 cardiovascular and 503 cancer deaths over 5.7-year follow-up)",,,,
2019-10-29 11:52:23,2019-10-29 11:54:59,IP Address,100,155,True,2019-10-29 11:54:59,R_2fjQYqnm5rnwp7M,anonymous,EN-GB,Mille2018ioma59-y,Handedness and the risk of glioma,MG,Yes,Yes,"cohort,case-control","In this study, we examined the relationship between handedness and glioma risk in a large case–control study (1849 glioma cases and 1354 healthy controls) and a prospective cohort study (326,475 subjects with 375 incident gliomas).",,,,
2019-10-29 11:55:01,2019-10-29 11:57:25,IP Address,100,143,True,2019-10-29 11:57:25,R_3rSszSnGLs0T5AN,anonymous,EN-GB,Walke2016bank52-1,Chronic widespread bodily pain is increased among individuals with history of fracture: findings from UK Biobank,MG,Yes,Not present,cross-sectional,"In this cross-sectional analysis of the UK Biobank cohort, a history of fracture was associated with increased risk of current widespread chronic pain.",,,,
