article_id,title.kd,exposure.kd,exposure_ev.kd,outcome.kd,outcome_ev.kd
Gugge2016ants16.7,Childhood febrile illness and the risk of myopia in UK Biobank participants,Yes,"""For each febrile illness in turn, logistic regression was used to examine the association between affection status (independent variable) and myopia (dependent variable) or high myopia (dependent variable).""",Yes,"""For each febrile illness in turn, logistic regression was used to examine the association between affection status (independent variable) and myopia (dependent variable) or high myopia (dependent variable)."""
Shwei2015hort.157,Measures of socioeconomic status and self-reported glaucoma in the U.K. Biobank cohort,No,,No,
Tong2018banky042,Anthropometric and physiologic characteristics in white and British Indian vegetarians and nonvegetarians in the UK Biobank,No,,No,
Welch2017hort1189,Dietary Magnesium May Be Protective for Aging of Bone and Skeletal Muscle in Middle and Younger Older Age Men and Women: Cross-Sectional Findings from the UK Biobank Cohort,No,,Yes,"""Measurements of Body Composition Skeletal Muscle Mass, Grip Strength and Bone Density (Outcome Measures)"""
Cumbe2015omes.040,"Laser refractive surgery in the UK Biobank study: Frequency, distribution by sociodemographic factors, and general health, happiness, and social participation outcomes",No,,Yes,"""Classification of Refractive Error, Report of Laser Refractive Surgery, and Other Outcomes"""
Sarka2018ants51-2,"Residential greenness and prevalence of major depressive disorders: a cross-sectional, observational, associational study of 94 879 adult UK Biobank participants",Yes,"""The present study investigates the association between residential green exposure and prevalence of major depressive disorders""",Yes,"""As such, the binary outcome variable comprised participants with no lifetime experience of major depressive disorder (0 or “no case”) and participants who had experienced a major depressive disorder (1 or “case”)."""
Ntuk2017tudy3323,"Association between grip strength and diabetes prevalence in black, South-Asian, and white European ethnic groups: a cross-sectional analysis of 418 656 participants in the UK Biobank study",No,,No,
Culle2018bank68-6,Cross-sectional and longitudinal analyses of outdoor air pollution exposure and cognitive function in UK Biobank,Yes,"""This is the largest study to date of air pollution and cognitive test performance, with standardised measurement of multiple pollutant exposures, cognitive outcomes and potential confounders, in a single general population cohort.""",Yes,"""This is the largest study to date of air pollution and cognitive test performance, with standardised measurement of multiple pollutant exposures, cognitive outcomes and potential confounders, in a single general population cohort."""
Sarka2018ants.009,"Neighbourhood walkability and incidence of hypertension: Findings from the study of 429,334 UK Biobank participants",Yes,"""2.3. Assessment of exposure""",Yes,"""2.2. Assessment of outcome"""
Nicho2014bank50-4,"Chronic multisite pain in major depression and bipolar disorder: cross-sectional study of 149,611 participants in UK Biobank",Yes,"""Multinomial logistic regression was used to establish whether there was an association between extent of chronic pain (independent variable) and mood disorder category (dependent variable)""",Yes,"""Multinomial logistic regression was used to establish whether there was an association between extent of chronic pain (independent variable) and mood disorder category (dependent variable)"""
Nicho2015bank43-5,Ethnic differences in the association between depression and chronic pain: cross sectional results from UK Biobank,Yes,"""The association between depression (independent variable) and chronic pain (dependent variable) was quantified using""",Yes,"""The association between depression (independent variable) and chronic pain (dependent variable) was quantified using"""
Cleut2014bank.007,Cognitive functioning in obstructive lung disease: results from the United Kingdom biobank,No,,Yes,"""Outcomes"""
Falco2017bank7132,Patterns and correlates of active commuting in adults with type 2 diabetes: cross-sectional evidence from UK Biobank,Yes,"""Exposure measures Exposure measures were AC to work, measured as usual mode of transport.""
",Yes,"""Outcome measures Outcome measures were weekly minutes of moderate to vigorous physical activity (MVPA), hours/day of sedentary time and participation in active travel."""
Atkin2019ortsy083,"Impact of Low Cardiovascular Risk Profiles on Geriatric Outcomes: Evidence From 421,000 Participants in Two Cohorts",Yes,"""We developed a risk score based on information on cardiovascular risk factors, applying scoring criteria adapted from the American Heart Association""",Yes,"""Outcomes"""
Burgo2018ants99-8,"Examining the interaction of fast-food outlet exposure and income on diet and obesity: evidence from 51,361 UK Biobank participants",Yes,"""Exposure – Neighbourhood fast-food outlet proportion and household income""",Yes,"""Outcomes – Processed meat consumption and adiposity"""
Celis2018tudy63-1,"Associations of discretionary screen time with mortality, cardiovascular disease and cancer are attenuated by strength, fitness and physical activity: findings from the UK Biobank study",Yes,"""All-cause mortality, CVD and cancer incidence and mortality were the main outcomes.""",Yes,"""Discretionary television (TV) viewing, personal computer (PC) screen time and overall screen time (TV + PC time) were the exposure variables."""
Kim2018risk84-x,"The combination of cardiorespiratory fitness and muscle strength, and mortality risk",Yes,"""Exposures""",Yes,"""Outcomes"""
Peter2018bank8507,Sex Differences in the Association Between Measures of General and Central Adiposity and the Risk of Myocardial Infarction: Results From the UK Biobank,No,,No,
Pyrko2018ords1603,Quantitative characterization of biological age and frailty based on locomotor activity records,No,,No,
Shafi2018bank2527,Dietary intake in people consuming a low-carbohydrate diet in the UK Biobank,Yes,"""The independent variables were created by splitting the dataset into those with a percentage of total calories of CHO <26% and those ≥45%, as well as those with an CHO intake of <130 g day–1 and ≥225 g day–1. The data for those consuming ≥26% and <45% (or ≥130 g and <225 g) were discarded.""",No,
