title,source,doi
The link between ankylosing spondylitis and oral health conditions: two nested case-control studies using data of the UK Biobank,WoSCC - exported 15/01/19,10.1590/1678-7757-2018-0207
Associations of Combined Genetic and Lifestyle Risks With Incident Cardiovascular Disease and Diabetes in the UK Biobank Study,Embase - exported 15/01/19,10.1001/jamacardio.2018.1717
"Human CCL3L1 copy number variation, gene expression, and the role of the CCL3L1-CCR5 axis in lung function",PubMed - exported 15/01/19,10.12688/wellcomeopenres.13902.2
Risk of breast cancer in the UK biobank female cohort and its relationship to anthropometric and reproductive factors,PubMed - exported 15/01/19,10.1371/journal.pone.0201097
"Image processing and Quality Control for the first 10,000 brain imaging datasets from UK Biobank",Embase - exported 15/01/19,10.1016/j.neuroimage.2017.10.034
UK Biobank: Current status and what it means for epidemiology,Embase - exported 15/01/19,10.1016/j.hlpt.2012.07.003
Genetic variants associated with susceptibility to idiopathic pulmonary fibrosis in people of European ancestry: a genome-wide association study,Embase - exported 15/01/19,10.1016/S2213-2600(17)30387-9
Lower lung function associates with cessation of menstruation: UK Biobank data,Embase - exported 15/01/19,10.1183/13993003.00412-2016
Female Smokers Are at Greater Risk of Airflow Obstruction Than Male Smokers. UK Biobank,PubMed - exported 15/01/19,10.1164/rccm.201608-1545OC
Adiposity among 132 479 UK Biobank participants; contribution of sugar intake vs other macronutrients,Embase - exported 15/01/19,10.1093/ije/dyw173
Red and processed meat consumption and breast cancer: UK Biobank cohort study and meta-analysis,Embase - exported 15/01/19,10.1016/j.ejca.2017.11.022
An integrated approach to correction for off-resonance effects and subject movement in diffusion MR imaging,Embase - exported 15/01/19,10.1016/j.neuroimage.2015.10.019
Brugada Syndrome-Associated Genetic Loci Are Associated With J-Point Elevation and an Increased Risk of Cardiac Arrest,WoSCC - exported 15/01/19,10.3389/fphys.2018.00894
"Development, Evaluation, and Implementation of a Pan-African Cancer Research Network: Men of African Descent and Carcinoma of the Prostate",PubMed - exported 15/01/19,10.1200/JGO.18.00063
"Water, sanitation and hygiene in wetlands. A case study from the Ewaso Narok Swamp, Kenya",PubMed - exported 15/01/19,10.1016/j.ijheh.2016.06.006
Phenotypic Refinement of Heart Failure in a National Biobank Facilitates Genetic Discovery,PubMed - exported 15/01/19,10.1161/CIRCULATIONAHA.118.035774
Genome-wide interaction study of a proxy for stress-sensitivity and its prediction of major depressive disorder,Embase - exported 15/01/19,10.1371/journal.pone.0209160
Targeted Sequencing of Lung Function Loci in Chronic Obstructive Pulmonary Disease Cases and Controls,Embase - exported 15/01/19,10.1371/journal.pone.0170222
The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease,Embase - exported 15/01/19,10.1016/j.cell.2016.10.042
Genetic Evidence That Carbohydrate-Stimulated Insulin Secretion Leads to Obesity,Embase - exported 15/01/19,10.1373/clinchem.2017.280727
"Impact of Low Cardiovascular Risk Profiles on Geriatric Outcomes: Evidence From 421,000 Participants in Two Cohorts",PubMed - exported 15/01/19,10.1093/gerona/gly083
The Impact of Glycated Hemoglobin (HbA1c) on Cardiovascular Disease Risk: A Mendelian Randomization Study Using UK Biobank,PubMed - exported 15/01/19,10.2337/dc18-0289
The Impact of Glycated Hemoglobin (HbA1c) on Cardiovascular Disease Risk: A Mendelian Randomization Study Using UK Biobank,Embase - exported 15/01/19,10.2337/dc18-0289
Association Between Ambient Air Pollution and Cardiac Morpho-Functional Phenotypes: Insights From the UK Biobank Population Imaging Study,Embase - exported 15/01/19,10.1161/CIRCULATIONAHA.118.034856
Alcohol intake and risk of systemic lupus erythematosus: a Mendelian randomization study,PubMed - exported 15/01/19,10.1177/0961203318817832
Alcohol intake and risk of rheumatoid arthritis: a Mendelian randomization study,Embase - exported 15/01/19,10.1007/s00393-018-0537-z
Automated cardiovascular magnetic resonance image analysis with fully convolutional networks,Embase - exported 15/01/19,10.1186/s12968-018-0471-x
A pilot study to understand feasibility and acceptability of stool and cord blood sample collection for a large-scale longitudinal birth cohort,WoSCC - exported 15/01/19,10.1186/s12884-017-1627-7
Associations Between Sedentary Behaviors and Cognitive Function: Cross-Sectional and Prospective Findings From the UK Biobank,Embase - exported 15/01/19,10.1093/aje/kwx273
Genome-wide association study results for educational attainment aid in identifying genetic heterogeneity of schizophrenia,WoSCC - exported 15/01/19,10.1038/s41467-018-05510-z
Genome-wide analysis identifies 12 loci influencing human reproductive behavior,WoSCC - exported 15/01/19,10.1038/ng.3698
Association of Whole-Genome and NETRIN1 Signaling Pathway-Derived Polygenic Risk Scores for Major Depressive Disorder and White Matter Microstructure in the UK Biobank,Embase - exported 15/01/19,10.1016/j.bpsc.2018.07.006
Education can reduce health differences related to genetic risk of obesity,WoSCC - exported 15/01/19,10.1073/pnas.1802909115
Prospective ultrasonographic and endocrine predictors of spermatogenic onset in ram lambs,WoSCC - exported 15/01/19,10.1016/j.anireprosci.2017.01.015
A genetic perspective on the relationship between eudaimonic -and hedonic well-being,WoSCC - exported 15/01/19,10.1038/s41598-018-32638-1
"Psychological distress, neuroticism, and cause-specific mortality: early prospective evidence from UK Biobank",Embase - exported 15/01/19,10.1136/jech-2016-207267
Cognitive genomics: Searching for the genetic roots of neuropsychological functioning,WoSCC - exported 15/01/19,10.1037/neu0000412
What is the effect of alcohol consumption on the risk of chronic widespread pain? A Mendelian randomisation study using UK Biobank,PubMed - exported 15/01/19,10.1097/j.pain.0000000000001426
Is alcohol consumption related to likelihood of reporting chronic widespread pain in people with stable consumption? Results from UK biobank,Embase - exported 15/01/19,10.1097/j.pain.0000000000000675
Genome-wide association study of offspring birth weight in 86 577 women identifies five novel loci and highlights maternal genetic effects that are independent of fetal genetics,Embase - exported 15/01/19,10.1093/hmg/ddx429
Can Deep Learning Improve Genomic Prediction of Complex Human Traits?,Embase - exported 15/01/19,10.1534/genetics.118.301298
Prospects of Fine-Mapping Trait-Associated Genomic Regions by Using Summary Statistics from Genome-wide Association Studies,Embase - exported 15/01/19,10.1016/j.ajhg.2017.08.012
Sex differences in macronutrient intake and adherence to dietary recommendations: findings from the UK Biobank,PubMed - exported 15/01/19,10.1136/bmjopen-2017-020017
Prospective association between handgrip strength and cardiac structure and function in UK adults,PubMed - exported 15/01/19,10.1371/journal.pone.0193124
The Measurement to Understand Reclassification of Disease of Cabarrus/Kannapolis (MURDOCK) Study Community Registry and Biorepository,WoSCC - exported 15/01/19,
Investigations into within- and between-subject resting-state amplitude variations,Embase - exported 15/01/19,10.1016/j.neuroimage.2017.07.014
The relation of age at menarche with age at natural menopause: a population study of 336 788 women in Norway,WoSCC - exported 15/01/19,10.1093/humrep/dey078
Heavier smoking increases coffee consumption: findings from a Mendelian randomization analysis,Embase - exported 15/01/19,10.1093/ije/dyx147
Tobacco exposure and sleep disturbance in 498 208 UK Biobank participants,Embase - exported 15/01/19,10.1093/pubmed/fdx102
Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes,WoSCC - exported 15/01/19,10.1038/s41467-017-02380-9
Female-Specific Association Between Variants on Chromosome 9 and Self-Reported Diagnosis of Irritable Bowel Syndrome,Embase - exported 15/01/19,10.1053/j.gastro.2018.03.064
Advanced body composition assessment: from body mass index to body composition profiling,PubMed - exported 15/01/19,10.1136/jim-2018-000722
Replication and characterization of CADM2 and MSRA genes on human behavior,PubMed - exported 15/01/19,10.1016/j.heliyon.2017.e00349
GWAS Identifies Risk Locus for Erectile Dysfunction and Implicates Hypothalamic Neurobiology and Diabetes in Etiology,Embase - exported 15/01/19,10.1016/j.ajhg.2018.11.004
"Central adiposity and the overweight risk paradox in aging: follow-up of 130,473 UK Biobank participants",Embase - exported 15/01/19,10.3945/ajcn.116.147157
Biobanks and electronic medical records: enabling cost-effective research,WoSCC - exported 15/01/19,10.1126/scitranslmed.3008604
"Association between physical activity and body fat percentage, with adjustment for BMI: a large cross-sectional analysis of UK Biobank",WoSCC - exported 15/01/19,10.1136/bmjopen-2016-011843
"Association between physical activity and body fat percentage, with adjustment for BMI: a large cross-sectional analysis of UK Biobank",PubMed - exported 15/01/19,10.1136/bmjopen-2016-011843
"Dietary Intake of High-Protein Foods and Other Major Foods in Meat-Eaters, Poultry-Eaters, Fish-Eaters, Vegetarians, and Vegans in UK Biobank",Embase - exported 15/01/19,10.3390/nu9121317
Dietary assessment in UK Biobank: an evaluation of the performance of the touchscreen dietary questionnaire,WoSCC - exported 15/01/19,10.1017/jns.2017.66
Analysis of shared heritability in common disorders of the brain,,
