rule,justification,response,variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8
"Rule = ""prospective"" is marked as partially","Describing a study as a ""prospective"" is not sufficient according to the STROBE guidelines but it still gives some indication",Partially,s1a ,,,,,,,
"Rule = ""Partially"" if ""longitudinal"" referred to","Describing a study as a ""longitudinal"" is not sufficient according to the STROBE guidelines but it still gives some indication",Partially,s1a ,,,,,,,
"Rule = ""baseline"" not enough for search so marked as No","One coder marked ""baseline"" as an indication of study design but we agreed this was not",No,s1a ,,,,,,,
Rule = missing statistical model is Partially,"Regardless of how much detail the abstract contains, if it is missing the statistical model the item can only be partially reported",Partially,s1b_i,,,,,,,
Rule = Partially if describe some results but missing all numerical results of main statistical tests,"Regardless of how much detail the abstract contains, if it is missing the numerical results of the main analyses the item can only be partially reported",Partially,s1b_ii,,,,,,,
Rule = if have intro is Yes,"We considered it almost impossible ""Partially"" report this item. The presence of an introduction is sufficient for a ""Yes"" as otherwise the item is very subjective.",Yes,s2_i ,,,,,,,
"Rule = ""Yes"" if 1b_i is ""Yes"" because methods would have been fully described in abstract","Describing the methods in the abstract would count as reporting the design early on so would yield a ""Yes""",Yes,s4,,,,,,,
Rule = partially have either recruitment details or states its from the UK Biobank but not both,"A ""Yes"" for this item demands authors state the study uses the UK Biobank and explains recruitment to the UK Biobank. Missing either yields a ""Partially""",Partially,s5_i ,,,,,,,
"Rule = ""Yes"" if state how ""invited"", or ""NHS register""","Explaining the recruitment to the UK Biobank is sufficient if authors explain how people were ""invited"" or that they used an NHS register",Yes,s5_i ,,,,,,,
"Rule = ""Partially"" if say ""general population""","Although not ideal explaining people were recruited from the ""general population"" gives some idea of the recruitment population",Partially,s5_i ,,,,,,,
"Rule = ""Partially"" if state exposures were measured at baseline but don't give dates of baseline measurements","Stating which variables are ""baseline"", even without dates, gives some indication of a timeline so yields a ""Partially""",Partially,s5_iv ,,,,,,,
Rule = Yes if any follow-up date,"Authors only need to provide one follow up date, even if there may be more. This is to make it easier and faster to assess this item and resolve conflicts",Yes,s5_v ,,,,,,,
Rule = NA if cross-sectional,"There were some conflicts over the applicability of the item for cross-sectional studies. For ease, we agreed follow-up dates are not applicable for cross-sectional studies.",NA,s5_v ,,,,,,,
