Authors,Title,Year,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Correspondence Address,PubMed ID,Access Type
"Zhao L., Matloff W., Ning K., Kim H., Dinov I.D., Toga A.W.","Age-Related Differences in Brain Morphology and the Modifiers in Middle-Aged and Older Adults",2019,,"10.1093/cercor/bhy300","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85072057420&doi=10.1093%2fcercor%2fbhy300&partnerID=40&md5=d892084c016ca3a6fb93b17dc085deda","Laboratory of Neuro Imaging, USC Mark and Mary Stevens Neuroimaging and Informatics Institute, University of Southern California, Los Angeles, CA  90033, United States; Statistics Online Computational Resource, University of Michigan, Ann Arbor, MI 48109-2003, United States; Michigan Institute for Data Science, University of Michigan, Ann Arbor, MI 48109-1042, United States","Zhao, L., Laboratory of Neuro Imaging, USC Mark and Mary Stevens Neuroimaging and Informatics Institute, University of Southern California, Los Angeles, CA  90033, United States; Matloff, W., Laboratory of Neuro Imaging, USC Mark and Mary Stevens Neuroimaging and Informatics Institute, University of Southern California, Los Angeles, CA  90033, United States; Ning, K., Laboratory of Neuro Imaging, USC Mark and Mary Stevens Neuroimaging and Informatics Institute, University of Southern California, Los Angeles, CA  90033, United States; Kim, H., Laboratory of Neuro Imaging, USC Mark and Mary Stevens Neuroimaging and Informatics Institute, University of Southern California, Los Angeles, CA  90033, United States; Dinov, I.D., Statistics Online Computational Resource, University of Michigan, Ann Arbor, MI 48109-2003, United States, Michigan Institute for Data Science, University of Michigan, Ann Arbor, MI 48109-1042, United States; Toga, A.W., Laboratory of Neuro Imaging, USC Mark and Mary Stevens Neuroimaging and Informatics Institute, University of Southern California, Los Angeles, CA  90033, United States","aging; brain morphology; magnetic resonance imaging; modifiers of brain aging; surface-based morphometry",,,,,,,"30535294",
"Zhao B., Ibrahim J.G., Li Y., Li T., Wang Y., Shan Y., Zhu Z., Zhou F., Zhang J., Huang C., Liao H., Yang L., Thompson P.M., Zhu H.","Heritability of Regional Brain Volumes in Large-Scale Neuroimaging and Genetic Studies",2019,1,"10.1093/cercor/bhy157","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85061048458&doi=10.1093%2fcercor%2fbhy157&partnerID=40&md5=a78e172b872d9eaf7d277842c44bf9f7","Department of Biostatistics, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Department of Statistics and Operations Research, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Department of Genetics, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Department of Computer Science, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Department of Biostatistics, University of Texas MD Anderson Cancer Center, Houston, TX, United States; Department of Statistics, Texas A&M University, College Station, TX, United States; Imaging Genetics Center, Mark and Mary Stevens Institute for Neuroimaging & Informatics, University of Southern California, Los Angeles, CA, United States","Zhao, B., Department of Biostatistics, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Ibrahim, J.G., Department of Biostatistics, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States, Department of Statistics and Operations Research, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Li, Y., Department of Biostatistics, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States, Department of Genetics, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States, Department of Computer Science, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Li, T., Department of Biostatistics, University of Texas MD Anderson Cancer Center, Houston, TX, United States; Wang, Y., Department of Biostatistics, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Shan, Y., Department of Biostatistics, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Zhu, Z., Department of Biostatistics, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Zhou, F., Department of Biostatistics, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Zhang, J., Department of Biostatistics, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Huang, C., Department of Biostatistics, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Liao, H., Department of Statistics, Texas A&M University, College Station, TX, United States; Yang, L., Department of Statistics and Operations Research, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Thompson, P.M., Imaging Genetics Center, Mark and Mary Stevens Institute for Neuroimaging & Informatics, University of Southern California, Los Angeles, CA, United States; Zhu, H., Department of Biostatistics, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States, Department of Biostatistics, University of Texas MD Anderson Cancer Center, Houston, TX, United States","regional brain volumes; SNP heritability; UK Biobank",,,,,,,"30010813",
"Zhang L., Gooya A., Pereanez M., Dong B., Piechnik S.K., Neubauer S., Petersen S.E., Frangi A.F.","Automatic Assessment of Full Left Ventricular Coverage in Cardiac Cine Magnetic Resonance Imaging with Fisher-Discriminative 3-D CNN",2019,,"10.1109/TBME.2018.2881952","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058486403&doi=10.1109%2fTBME.2018.2881952&partnerID=40&md5=056bbe5efd16ed0d925b2c8ddfc23b2b","Centre for Computational Imaging and Simulation Technologies in Biomedicine, University of Sheffield, Sheffield, S1 3JD, United Kingdom; Centre for Computational Imaging and Simulation Technologies, BiomedicineUniversity of Sheffield, United Kingdom; Oxford Centre for Clinical Magnetic Resonance Research, Division of Cardiovascular Medicine, John Radcliffe HospitalUniversity of Oxford, United Kingdom; Cardiovascular Medicine, William Harvey Research InstituteQueen Mary University of London, United Kingdom; Centre for Computational Imaging and Simulation Technologies in Biomedicine, School of Computing, School of MedicineUniversity of Leeds, United Kingdom","Zhang, L., Centre for Computational Imaging and Simulation Technologies in Biomedicine, University of Sheffield, Sheffield, S1 3JD, United Kingdom; Gooya, A., Centre for Computational Imaging and Simulation Technologies in Biomedicine, University of Sheffield, Sheffield, S1 3JD, United Kingdom; Pereanez, M., Centre for Computational Imaging and Simulation Technologies in Biomedicine, University of Sheffield, Sheffield, S1 3JD, United Kingdom; Dong, B., Centre for Computational Imaging and Simulation Technologies, BiomedicineUniversity of Sheffield, United Kingdom; Piechnik, S.K., Oxford Centre for Clinical Magnetic Resonance Research, Division of Cardiovascular Medicine, John Radcliffe HospitalUniversity of Oxford, United Kingdom; Neubauer, S., Oxford Centre for Clinical Magnetic Resonance Research, Division of Cardiovascular Medicine, John Radcliffe HospitalUniversity of Oxford, United Kingdom; Petersen, S.E., Cardiovascular Medicine, William Harvey Research InstituteQueen Mary University of London, United Kingdom; Frangi, A.F., Centre for Computational Imaging and Simulation Technologies in Biomedicine, School of Computing, School of MedicineUniversity of Leeds, United Kingdom","3D convolutional neural network; Fisher discriminant criterion; image-quality assessment; LV coverage; population image analysis","This research has been conducted using the UK Biobank Resource under Application 2964. The authors wish to thank all UK Biobank participants and staff. S. E. Petersen provides consultancy toCircleCardiovascular Imaging Inc.,Calgary,AB, Canada, and the access application 11350 of UK Biobank.",,,,,"Zhang, L.; Centre for Computational Imaging and Simulation Technologies in Biomedicine, University of SheffieldUnited Kingdom; email: le.zhang@sheffield.ac.uk","30475705",Open Access
"Spiller W., Slichter D., Bowden J., Davey Smith G.","Detecting and correcting for bias in Mendelian randomization analyses using Gene-by-Environment interactions",2019,2,"10.1093/ije/dyy204","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85072058502&doi=10.1093%2fije%2fdyy204&partnerID=40&md5=97e29c2ddf90dfe6797c2bf47c1b844b","Population Health Sciences, University of Bristol, Bristol, United Kingdom; Department of Economics, Binghamton University, State University of New York, Binghamton, NY, United States","Spiller, W., Population Health Sciences, University of Bristol, Bristol, United Kingdom; Slichter, D., Department of Economics, Binghamton University, State University of New York, Binghamton, NY, United States; Bowden, J., Population Health Sciences, University of Bristol, Bristol, United Kingdom; Davey Smith, G., Population Health Sciences, University of Bristol, Bristol, United Kingdom","gene-environment interaction; invalid instruments; Mendelian randomization; MRGxE; pleiotropy","This work was supported by the Medical Research Council (MRC) and the University of Bristol, who fund the MRC Integrative Epidemiology Unit (MC_UU_00011/1, MC_UU_00011/2). Wes Spiller is supported by a Wellcome Trust studentship (108902/B/15/Z). The authors would like to thank Gibran Hemani and James Staley for assistance in data formatting, as well as Yoonsu Cho, Neil Davies, Fernando Hartwig and Tom Palmer for useful comments and suggestions on this work. This research has been conducted using the UK Biobank Resource under Application Number 8786.",,,,,"Spiller, W.; MRC Integrative Epidemiology Unit University of Bristol, Oakfield House, Oakfield Grove, United Kingdom; email: wes.spiller@bristol.ac.uk","30462199",Open Access
"Sanderson E., Davey Smith G., Windmeijer F., Bowden J.","An examination of multivariable Mendelian randomization in the single-sample and two-sample summary data settings",2019,4,"10.1093/ije/dyy262","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85072057266&doi=10.1093%2fije%2fdyy262&partnerID=40&md5=d6b69867655f3ef814d73d39351e3fc3","MRC Integrative Epidemiology Unit, University of Bristol, Oakfield House, Oakfield Grove, Bristol, BS8 2BN, United Kingdom; Population Health Sciences, University of Bristol, Bristol, United Kingdom; Department of Economics, University of Bristol, Bristol, United Kingdom","Sanderson, E., MRC Integrative Epidemiology Unit, University of Bristol, Oakfield House, Oakfield Grove, Bristol, BS8 2BN, United Kingdom, Population Health Sciences, University of Bristol, Bristol, United Kingdom; Davey Smith, G., MRC Integrative Epidemiology Unit, University of Bristol, Oakfield House, Oakfield Grove, Bristol, BS8 2BN, United Kingdom, Population Health Sciences, University of Bristol, Bristol, United Kingdom; Windmeijer, F., MRC Integrative Epidemiology Unit, University of Bristol, Oakfield House, Oakfield Grove, Bristol, BS8 2BN, United Kingdom, Department of Economics, University of Bristol, Bristol, United Kingdom; Bowden, J., MRC Integrative Epidemiology Unit, University of Bristol, Oakfield House, Oakfield Grove, Bristol, BS8 2BN, United Kingdom, Population Health Sciences, University of Bristol, Bristol, United Kingdom","Cochran's Q statistic; instrument strength; instrument validity; Mendelian randomization; multivariable Mendelian randomization; two-sample Mendelian randomization","This research was supported by the UK Medical Research Council Integrative Epidemiology Unit at the University of Bristol (MC_UU_00011/2, MC_UU_00011/1). The analysis has been conducted using the UK Biobank Resource as part of application 8786.",,,,,"Sanderson, E.; MRC Integrative Epidemiology Unit, University of Bristol, Oakfield House, United Kingdom; email: eleanor.sanderson@bristol.ac.uk","30535378",Open Access
"Tyrrell J., Mulugeta A., Wood A.R., Zhou A., Beaumont R.N., Tuke M.A., Jones S.E., Ruth K.S., Yaghootkar H., Sharp S., Thompson W.D., Ji Y., Harrison J., Freathy R.M., Murray A., Weedon M.N., Lewis C., Frayling T.M., Hyppönen E.","Using genetics to understand the causal influence of higher BMI on depression",2019,9,"10.1093/ije/dyy223","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85072056778&doi=10.1093%2fije%2fdyy223&partnerID=40&md5=174abbe824c5f29742a526da2a6e8ce4","Genetics of Complex Traits, University of Exeter Medical School, Royal Devon and Exeter Hospital, Exeter, United Kingdom; Australian Centre for Precision Health, University of South Australia Cancer Research Institute, GPO Box 2471, Adelaide, SA  5001, Australia; Social, Genetic and Developmental Psychiatry Centre, Institute of Psychiatry, Psychology and Neuroscience, King’s College London, London, United Kingdom","Tyrrell, J., Genetics of Complex Traits, University of Exeter Medical School, Royal Devon and Exeter Hospital, Exeter, United Kingdom; Mulugeta, A., Australian Centre for Precision Health, University of South Australia Cancer Research Institute, GPO Box 2471, Adelaide, SA  5001, Australia; Wood, A.R., Genetics of Complex Traits, University of Exeter Medical School, Royal Devon and Exeter Hospital, Exeter, United Kingdom; Zhou, A., Australian Centre for Precision Health, University of South Australia Cancer Research Institute, GPO Box 2471, Adelaide, SA  5001, Australia; Beaumont, R.N., Genetics of Complex Traits, University of Exeter Medical School, Royal Devon and Exeter Hospital, Exeter, United Kingdom; Tuke, M.A., Genetics of Complex Traits, University of Exeter Medical School, Royal Devon and Exeter Hospital, Exeter, United Kingdom; Jones, S.E., Genetics of Complex Traits, University of Exeter Medical School, Royal Devon and Exeter Hospital, Exeter, United Kingdom; Ruth, K.S., Genetics of Complex Traits, University of Exeter Medical School, Royal Devon and Exeter Hospital, Exeter, United Kingdom; Yaghootkar, H., Genetics of Complex Traits, University of Exeter Medical School, Royal Devon and Exeter Hospital, Exeter, United Kingdom; Sharp, S., Genetics of Complex Traits, University of Exeter Medical School, Royal Devon and Exeter Hospital, Exeter, United Kingdom; Thompson, W.D., Genetics of Complex Traits, University of Exeter Medical School, Royal Devon and Exeter Hospital, Exeter, United Kingdom; Ji, Y., Genetics of Complex Traits, University of Exeter Medical School, Royal Devon and Exeter Hospital, Exeter, United Kingdom; Harrison, J., Genetics of Complex Traits, University of Exeter Medical School, Royal Devon and Exeter Hospital, Exeter, United Kingdom; Freathy, R.M., Genetics of Complex Traits, University of Exeter Medical School, Royal Devon and Exeter Hospital, Exeter, United Kingdom; Murray, A., Genetics of Complex Traits, University of Exeter Medical School, Royal Devon and Exeter Hospital, Exeter, United Kingdom; Weedon, M.N., Genetics of Complex Traits, University of Exeter Medical School, Royal Devon and Exeter Hospital, Exeter, United Kingdom; Lewis, C., Social, Genetic and Developmental Psychiatry Centre, Institute of Psychiatry, Psychology and Neuroscience, King’s College London, London, United Kingdom; Frayling, T.M., Genetics of Complex Traits, University of Exeter Medical School, Royal Devon and Exeter Hospital, Exeter, United Kingdom; Hyppönen, E., Australian Centre for Precision Health, University of South Australia Cancer Research Institute, GPO Box 2471, Adelaide, SA  5001, Australia","Body mass index; depression; Mendelian randomization; UK Biobank","This research has been conducted using the UK Biobank Resource under application numbers 9072 and 10171. J.T. is funded by a Diabetes Research and Wellness Foundation Fellowship. A. Mulugeta studentship is funded by Australian Research Training Program Scholarship. S.E.J. is funded by the Medical Research Council (grant: MR/M005070/1) M.A.T., M.N.W. and A. Murray are supported by the Wellcome Trust Institutional Strategic Support Award (WT097835MF). A.R.W. and T.M.F. are supported by the European Research Council grant: SZ- 245 50371-GLUCOSEGENES-FP7-IDEAS-ERC. R.M.F. is a Sir Henry Dale Fellow (Wellcome Trust and Royal Society grant: 104150/Z/14/Z). R.B. is funded by the Wellcome Trust and Royal Society grant: 104150/Z/14/Z. K.S.R. is supported by funding from the Gillings Family Foundation. H.Y. is funded by Diabetes UK RD Lawrence fellowship (grant: 17/0005594). C.M.L. was funded in part by the National Institute for Health Research (NIHR) Biomedical Research Centre at South London and Maudsley NHS Foundation Trust and King?s College London. The views expressed are those of the author(s) and not necessarily those of the NHS, the NIHR or the Department of Health and Social Care.",,,,,"Hyppönen, E.; Australian Centre for Precision Health, University of South Australia Cancer Research Institute, GPO Box 2471, Australia; email: Elina.Hypponen@unisa.edu.au","30423117",Open Access
"Hindy G., Åkesson K.E., Melander O., Aragam K.G., Haas M.E., Nilsson P.M., Kadam U.T., Orho-Melander M.","Cardiometabolic Polygenic Risk Scores and Osteoarthritis Outcomes: A Mendelian Randomization Study Using Data From the Malmö Diet and Cancer Study and the UK Biobank",2019,1,"10.1002/art.40812","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85064572066&doi=10.1002%2fart.40812&partnerID=40&md5=e0c786b5c52495993678cbd44f6a393c","Lund University, Lund, Sweden; Broad Institute, Cambridge, MA, United States; Massachusetts General Hospital, Boston, MA, United States; University of Leicester, Leicester, United Kingdom","Hindy, G., Lund University, Lund, Sweden, Broad Institute, Cambridge, MA, United States; Åkesson, K.E., Lund University, Lund, Sweden; Melander, O., Lund University, Lund, Sweden; Aragam, K.G., Broad Institute, Cambridge, MA, United States, Massachusetts General Hospital, Boston, MA, United States; Haas, M.E., Broad Institute, Cambridge, MA, United States; Nilsson, P.M., Lund University, Lund, Sweden; Kadam, U.T., University of Leicester, Leicester, United Kingdom; Orho-Melander, M., Lund University, Lund, Sweden",,,,,,,"Hindy, G.; Lund UniversitySweden; email: George.Hindy@med.lu.se","30615301",Open Access
"Dixon P., Davey Smith G., Hollingworth W.","The Association Between Adiposity and Inpatient Hospital Costs in the UK Biobank Cohort",2019,,"10.1007/s40258-018-0450-2","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85059332646&doi=10.1007%2fs40258-018-0450-2&partnerID=40&md5=bd2a4e5d715b1642ae51d1d302631cf1","Population Health Sciences, Bristol Medical School, University of Bristol, Bristol, BS8 2PS, United Kingdom; MRC Integrative Epidemiology Unit, University of Bristol, Oakfield House, Oakfield Grove, Bristol, BS8 2BN, United Kingdom; NIHR Biomedical Research Centre, University of Bristol, Oakfield House, Oakfield Grove, Bristol, BS8 2BN, United Kingdom","Dixon, P., Population Health Sciences, Bristol Medical School, University of Bristol, Bristol, BS8 2PS, United Kingdom, MRC Integrative Epidemiology Unit, University of Bristol, Oakfield House, Oakfield Grove, Bristol, BS8 2BN, United Kingdom; Davey Smith, G., Population Health Sciences, Bristol Medical School, University of Bristol, Bristol, BS8 2PS, United Kingdom, MRC Integrative Epidemiology Unit, University of Bristol, Oakfield House, Oakfield Grove, Bristol, BS8 2BN, United Kingdom, NIHR Biomedical Research Centre, University of Bristol, Oakfield House, Oakfield Grove, Bristol, BS8 2BN, United Kingdom; Hollingworth, W., Population Health Sciences, Bristol Medical School, University of Bristol, Bristol, BS8 2PS, United Kingdom",,,,,,,"Dixon, P.; Population Health Sciences, Bristol Medical School, University of BristolUnited Kingdom; email: padraig.dixon@bristol.ac.uk","30599049",Open Access
"Tarroni G., Oktay O., Bai W., Schuh A., Suzuki H., Passerat-Palmbach J., De Marvao A., O'Regan D.P., Cook S., Glocker B., Matthews P.M., Rueckert D.","Learning-based quality control for cardiac MR images",2019,,"10.1109/TMI.2018.2878509","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85056197379&doi=10.1109%2fTMI.2018.2878509&partnerID=40&md5=10737f31eead078fcc7389e915348fe8","Department of Computing, Imperial College London, London, SW72AZ, United Kingdom; Division of Brain Sciences, Faculty of Medicine, Imperial College London, London, SW72AZ, United Kingdom; Faculty of Medicine, MRC London Institute of Medical Sciences, Imperial College London, London, W120NN, United Kingdom; UK Dementia Research Institute, London, WC1E6BT, United Kingdom","Tarroni, G., Department of Computing, Imperial College London, London, SW72AZ, United Kingdom; Oktay, O., Department of Computing, Imperial College London, London, SW72AZ, United Kingdom; Bai, W., Department of Computing, Imperial College London, London, SW72AZ, United Kingdom; Schuh, A., Department of Computing, Imperial College London, London, SW72AZ, United Kingdom; Suzuki, H., Division of Brain Sciences, Faculty of Medicine, Imperial College London, London, SW72AZ, United Kingdom; Passerat-Palmbach, J., Department of Computing, Imperial College London, London, SW72AZ, United Kingdom; De Marvao, A., Faculty of Medicine, MRC London Institute of Medical Sciences, Imperial College London, London, W120NN, United Kingdom; O'Regan, D.P., Faculty of Medicine, MRC London Institute of Medical Sciences, Imperial College London, London, W120NN, United Kingdom; Cook, S., Faculty of Medicine, MRC London Institute of Medical Sciences, Imperial College London, London, W120NN, United Kingdom; Glocker, B., Department of Computing, Imperial College London, London, SW72AZ, United Kingdom; Matthews, P.M., Division of Brain Sciences, Faculty of Medicine, Imperial College London, London, SW72AZ, United Kingdom, UK Dementia Research Institute, London, WC1E6BT, United Kingdom; Rueckert, D., Department of Computing, Imperial College London, London, SW72AZ, United Kingdom","heart; Image quality assessment; magnetic resonance imaging; motion compensation and analysis","This work was supported in part by the EPSRC Program under Grant EP/P001009/1, in part by the British Heart Foundation under Grant NH/17/1/32725, and in part by the National Institute for Health Research (NIHR) Biomedical Research Centre based at Imperial College Healthcare NHS Trust. Thiswork has been conducted using the U.K. Biobank Resource [1] under Application Number 18545. The work of G. Tarroni was supported by a Marie Skodowska-Curie Fellowship.",,,,,"Tarroni, G.; Department of Computing, Imperial College LondonUnited Kingdom; email: giacomo.tarroni@gmail.com","30403623",Open Access
"Taylor A.E., Richmond R.C., Palviainen T., Loukola A., Wootton R.E., Kaprio J., Relton C.L., Davey Smith G., Munafò M.R.","The effect of body mass index on smoking behaviour and nicotine metabolism: A Mendelian randomization study",2019,1,"10.1093/hmg/ddy434","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85064506314&doi=10.1093%2fhmg%2fddy434&partnerID=40&md5=39d033a508a4f274486d021f348ab0e5","Population Health Sciences, Bristol Medical School, University of Bristol, Bristol, United Kingdom; National Institute for Health Research Bristol Biomedical Research Centre, University Hospitals Bristol NHS Foundation Trust, University of Bristol, United Kingdom; MRC Medical Research Council Integrative Epidemiology Unit, University of Bristol, Bristol, United Kingdom; Institute for Molecular Medicine Finland FIMM, Helsinki Institute for Life Science, University of Helsinki, Helsinki, Finland; Department of Public Health, Medical Faculty, University of Helsinki, Helsinki, Finland; UK Centre for Tobacco and Alcohol Studies, School of Experimental Psychology, University of Bristol, Bristol, United Kingdom","Taylor, A.E., Population Health Sciences, Bristol Medical School, University of Bristol, Bristol, United Kingdom, National Institute for Health Research Bristol Biomedical Research Centre, University Hospitals Bristol NHS Foundation Trust, University of Bristol, United Kingdom; Richmond, R.C., Population Health Sciences, Bristol Medical School, University of Bristol, Bristol, United Kingdom, MRC Medical Research Council Integrative Epidemiology Unit, University of Bristol, Bristol, United Kingdom; Palviainen, T., Institute for Molecular Medicine Finland FIMM, Helsinki Institute for Life Science, University of Helsinki, Helsinki, Finland; Loukola, A., Institute for Molecular Medicine Finland FIMM, Helsinki Institute for Life Science, University of Helsinki, Helsinki, Finland; Wootton, R.E., National Institute for Health Research Bristol Biomedical Research Centre, University Hospitals Bristol NHS Foundation Trust, University of Bristol, United Kingdom, MRC Medical Research Council Integrative Epidemiology Unit, University of Bristol, Bristol, United Kingdom, UK Centre for Tobacco and Alcohol Studies, School of Experimental Psychology, University of Bristol, Bristol, United Kingdom; Kaprio, J., Institute for Molecular Medicine Finland FIMM, Helsinki Institute for Life Science, University of Helsinki, Helsinki, Finland, Department of Public Health, Medical Faculty, University of Helsinki, Helsinki, Finland; Relton, C.L., Population Health Sciences, Bristol Medical School, University of Bristol, Bristol, United Kingdom, MRC Medical Research Council Integrative Epidemiology Unit, University of Bristol, Bristol, United Kingdom; Davey Smith, G., Population Health Sciences, Bristol Medical School, University of Bristol, Bristol, United Kingdom, MRC Medical Research Council Integrative Epidemiology Unit, University of Bristol, Bristol, United Kingdom; Munafò, M.R., MRC Medical Research Council Integrative Epidemiology Unit, University of Bristol, Bristol, United Kingdom, UK Centre for Tobacco and Alcohol Studies, School of Experimental Psychology, University of Bristol, Bristol, United Kingdom",,"1Population Health Sciences, Bristol Medical School, University of Bristol, Bristol, UK, 2National Institute for Health Research Bristol Biomedical Research Centre, University Hospitals Bristol NHS Foundation Trust and the University of Bristol, UK, 3MRC Medical Research Council Integrative Epidemiology Unit, University of Bristol, Bristol, UK, 4Institute for Molecular Medicine Finland FIMM, Helsinki Institute for Life Science, University of Helsinki, Helsinki, Finland, 5Department of Public Health, Medical Faculty, University of Helsinki, Helsinki, Finland and 6UK Centre for Tobacco and Alcohol Studies, School of Experimental Psychology, University of Bristol, Bristol, UK","We are extremely grateful to all the families who took part in this study, the midwives for their help in recruiting them and the whole ALSPAC team, which includes interviewers, computer and laboratory technicians, clerical workers, research scientists, volunteers, managers, receptionists and nurses. The UK Medical Research Council and Wellcome (102215/2/13/2) and the University of Bristol provide core support for ALSPAC. This publication is the work of the authors, and Amy Taylor and Marcus Munafò will serve as guarantors for the contents of this paper. M.R.M. is a member of the UK Centre for Tobacco Control Studies, a UKCRC Public Health Research: Centre of Excellence. Funding from British Heart Foundation, Cancer Research UK, Economic and Social Research Council, Medical Research Council, and the National Institute for Health Research, under the auspices of the UK Clinical Research Collaboration, is gratefully acknowledged. The Accessible Resource for Integrated Epigenomics Studies (ARIES) was funded by the UK Biotechnology and Biological Sciences Research Council (BB/I025751/1 and BB/I025263/1). This research has been conducted using the UK Biobank Resource (application 9142). The views expressed in this paper are those of the authors and not necessarily the MRC, Wellcome NIHR or any other funders. This study was supported by the NIHR Biomedical Research Centre at University Hospitals Bristol NHS Foundation Trust and the University of Bristol. The views expressed in this publication are those of the author(s) and not necessarily those of the NHS, the National Institute for Health Research or the Department of Health and Social Care. Quality Control filtering of the UK Biobank data was conducted by R. Mitchell, G. Hemani, T. Dudding, L. Paternoster as described in the published protocol (doi:10.5523/bris.3074krb6t2frj29yh2b03x3wxj).","Medical Research Council (MC UU 12013/1, MC UU 12013/2, MC UU 12013/6); the NIHR Biomedical Centre at the University Hospitals Bristol NHS Foundation Trust and Cancer Research UK (C18281/A19169 and C57854/A22171).",,,"Taylor, A.E.; Bristol Medical School, Oakfield House, Oakfield Grove, United Kingdom; email: amy.taylor@bristol.ac.uk","30561638",Open Access
