"article_id","title","access_article.kd","access_article.mg","access_supp.kd","access_supp.mg","comments.kd","comments.mg","design.kd","design.mg","design_all.kd","design_all.mg","design_ev.kd","design_ev.mg","design_judg.kd","design_judg.mg","design_judg_4_TEXT.kd","design_judg_4_TEXT.mg","design_judg_rat.kd","design_judg_rat.mg","title_sub"
"Abboo2018bank0207","The link between ankylosing spondylitis and oral health conditions: two nested case-control studies using data of the UK Biobank","Yes","Yes","Not present","Not present","two case-control studies",NA,"case-control","case-control","case-control","case-control","""The aims of this study are:  To report the findings of two case-control studies based on the UK Biobank database;""","The link between ankylosing spondylitis and oral health conditions: two nested case-control studies using data of the UK Biobank",NA,NA,NA,NA,NA,NA,"thelinkbetweenankylosingspondylitisandoralhealthconditionstwonestedcasecontrolstudiesusingdataoftheukbiobank"
"Al-Aj2018tors1097","Risk of breast cancer in the UK biobank female cohort and its relationship to anthropometric and reproductive factors","Yes","Yes","Yes","Yes",NA,NA,"no_statement","no_statement","case-control","cohort",NA,NA,"case-control","cohort",NA,NA,"""The case-control groups were identified by utilizing all these three data sources."" Sampled based on outcome","Over the 9 years of follow up the total number of BC cases were 14,231","riskofbreastcancerintheukbiobankfemalecohortanditsrelationshiptoanthropometricandreproductivefactors"
"Amara2016data2016","Lower lung function associates with cessation of menstruation: UK Biobank data","Yes","Yes","Yes","Yes",NA,NA,"cross-sectional","no_statement","cross-sectional","cross-sectional","""Our study also has limitations. As with all cross-sectional studies, we are unable to draw firm conclusions in terms of temporality.""",NA,NA,"cross-sectional",NA,NA,NA,"Our study also has limitations. As with all cross-sectional studies, we are unable to draw firm conclusions in terms of temporality.","lowerlungfunctionassociateswithcessationofmenstruationukbiobankdata"
"Amara2017bank45OC","Female Smokers Are at Greater Risk of Airflow Obstruction Than Male Smokers. UK Biobank","Yes","Yes","Yes","Yes","RR",NA,"no_statement","no_statement","other","cross-sectional",NA,NA,"other","cross-sectional","UNCERTAIN",NA,"Cross sectional or cohort? ""The aim of this study was to examine the risk of airflow obstruction ... in relation to a self-reported cigarette smoking history"". Did not sample based on outcome but all measures taken at same time.","and in this cross-sectional study, it is possible that survival bias led to a dilution of the association of airflow obstruction with cigarette smoking mainly among men.","femalesmokersareatgreaterriskofairflowobstructionthanmalesmokersukbiobank"
"Ander2017entsw173","Adiposity among 132 479 UK Biobank participants; contribution of sugar intake vs other macronutrients","Yes","Yes","Yes","Yes",NA,NA,"cross-sectional","cross-sectional","cross-sectional","cross-sectional","""We conducted a cross-sectional study and, therefore, cannot demonstrate a temporal relationship between diet and adiposity.""","We conducted a cross-sectional study and, therefore, cannot demonstrate a temporal relationship between diet and adiposity. ",NA,NA,NA,NA,NA,NA,"adiposityamongukbiobankparticipantscontributionofsugarintakevsothermacronutrients"
"Ander2018ysis.022","Red and processed meat consumption and breast cancer: UK Biobank cohort study and meta-analysis","Yes","Yes","Yes","Yes",NA,NA,"no_statement","cohort","cohort","cohort",NA,"Over a median of 7 years follow-up, 4819 of the 262,195 women developed breast cancer.","cohort",NA,NA,NA,"""We studied whether red and processed meat consumption were associated with the risk of breast cancer in UK Biobank; then included the results in a meta-analysis of prospective cohort studies""",NA,"redandprocessedmeatconsumptionandbreastcancerukbiobankcohortstudyandmetaanalysis"
"Atkin2019ortsy083","Impact of Low Cardiovascular Risk Profiles on Geriatric Outcomes: Evidence From 421,000 Participants in Two Cohorts","Yes","Yes","Yes","Yes","Conducted similar analyses in two cohorts: UKB and CPRD ",NA,"cross-sectional,no_statement","cohort,cross-sectional","cohort,cross-sectional","cohort,cross-sectional","""Logistic regression was used to assess cross-sectional associations in UKB""","We used Cox proportional hazards regression models to estimate hazard ratios (HRs) between CRS categories and all-cause mortality. For incident disease, we used Fine and Gray competing risk models to estimate HRs, including all-cause mortality as a competing risk: sub-HR (19). Logistic regression was used to assess cross-sectional associations in UKB.","cohort",NA,NA,NA,"Did not sample by outcome. Investigated impact of Low Cardiovascular Risk Profiles on Geriatric Outcomes measured at follow up ",NA,"impactoflowcardiovascularriskprofilesongeriatricoutcomesevidencefromparticipantsintwocohorts"
"Bakra2018bankx273","Associations Between Sedentary Behaviors and Cognitive Function: Cross-Sectional and Prospective Findings From the UK Biobank","Yes","Yes","Yes","Yes",NA,NA,"cross-sectional,no_statement","cohort,cross-sectional","cohort,cross-sectional","cohort,cross-sectional","We investigated the cross-sectional ... associations between different sedentary behaviors and cognitive function ... in the UK Biobank. ","Associations Between Sedentary Behaviors and Cognitive Function: Cross-Sectional and Prospective Findings From the UK Biobank","cohort",NA,NA,NA,"""Multiple logistic regression models investigated the prospective associations between the domains of sedentary behavior at baseline and cognitive function at follow-up."". Did not sample based on outcome.",NA,"associationsbetweensedentarybehaviorsandcognitivefunctioncrosssectionalandprospectivefindingsfromtheukbiobank"
"Batty2016bank7267","Psychological distress, neuroticism, and cause-specific mortality: early prospective evidence from UK Biobank","Yes","Yes","Yes","Yes",NA,NA,"no_statement","cohort","cohort","cohort",NA,"Psychological distress, neuroticism, and cause-specific mortality: early prospective evidence from UK Biobank","cohort",NA,NA,NA,"""we tested the possibility that it is the neuroticism trait ... is generating an increased risk of mortality."" Mortality measured at follow-up. Did not sample based on outcome.",NA,"psychologicaldistressneuroticismandcausespecificmortalityearlyprospectiveevidencefromukbiobank"
"Beasl2016bank0675","Is alcohol consumption related to likelihood of reporting chronic widespread pain in people with stable consumption? Results from UK biobank","Yes","Yes","Not present","Not present",NA,NA,"no_statement","no_statement","cross-sectional","cross-sectional",NA,NA,"cross-sectional","cross-sectional",NA,NA,""" we wished to test whether we could confirm a previous observation of a “reversed J-shaped” relationship between alcohol consumption and pain reporting,"" both exposure and outcome were measured at same time and reflect current levels","No evidence of longitudinal or case control design (did not select participants based on CWP status. ","isalcoholconsumptionrelatedtolikelihoodofreportingchronicwidespreadpaininpeoplewithstableconsumptionresultsfromukbiobank"
"Benne2018bank0017","Sex differences in macronutrient intake and adherence to dietary recommendations: findings from the UK Biobank","Yes","Yes","Yes","Yes",NA,NA,"cross-sectional","cross-sectional","cross-sectional","cross-sectional","""Cross-sectional data were used from the UK Biobank""","Design Cross-sectional population-based study.",NA,NA,NA,NA,NA,NA,"sexdifferencesinmacronutrientintakeandadherencetodietaryrecommendationsfindingsfromtheukbiobank"
"Boaky2018antsx102","Tobacco exposure and sleep disturbance in 498 208 UK Biobank participants","Yes","Yes","Yes","Yes",NA,NA,"cross-sectional","cross-sectional","cross-sectional","cross-sectional","""This cross-sectional study used data from the UK Biobank: ""","This cross-sectional study used data from the UK Biobank: a cohort study of 502 655 participants, of whom 498 208 provided self-reported data on smoking and sleep characteristics.",NA,NA,NA,NA,NA,NA,"tobaccoexposureandsleepdisturbanceinukbiobankparticipants"
