"article_id","title","designs","predict","strobe","other_guidelines","strobe_ev","strobe_cite","reg","reg_id","reg_ev","var_id","ukb_credit","ukb_credit_ev","code","X1a","X1b_i","X1b_ii","X2_i","X2_ii","X3","X4","X5_i","X5_ii","X5_iii","X5_iv","X5_v","X5_vi","X6a_i_coh_cs","X6a_ii_coh_cs","X6a_iii_coh_cs","X6a_iv_coh","X6b_i_coh","X6b_ii_coh","X6a_i_cc","X6a_ii_cc","X6a_iii_cc","X6a_iv_cc","X6b_i_cc","X6b_ii_cc","X7_i","X7_ii","X7_iii","X7_iv","X7_v","X7_vi","X8starred_i","X8_star_i_cc","X8_star_i_coh_cs","X8starred_ii","X8_star_ii_cc","X8_star_ii_coh_cs","X8starred_iii","X8_star_iii_cc","X8_star_iii_coh_cs","X9","X10","X11_i","X11_ii","X11_iii","X12a","X12b_i","X12b_ii","X12c","X12d_coh","X12d_cc","X12d_cs","X12e","X13starreda","X13_star_a_cc","X13_star_a_coh_cs","X13starredb","X13_star_b_cc","X13_star_b_coh_cs","X13starredc","X13_star_c_cc","X13_star_c_coh_cs","X14starreda_i","X14_star_a_i_cc","X14_star_a_i_coh_cs","X14starreda_ii","X14_star_a_ii_cc","X14_star_a_ii_coh_cs","X14starredb","X14_star_b_cc","X14_star_b_coh_cs","X14starredc_coh","X14_star_c_coh","X15starred_coh","X15_star_coh","X15starred_cc","X15_star_cc","X15starred_cs","X15_star_cs","X16a_i","X16a_ii","X16a_iii","X16a_iv","X16a_v","X16b","X16c","X17_i","X17_ii","X17_iii","X17_iv","X18","X19_i","X19_ii","X20","X21","X22_i","X22_ii","X22_iii","X22_iv","comments","email","country","ukb_app","keywords","coi","year","journal","access_article","access_supp","open_access_publisher","open_access_other","correction","retraction"
"Ander2018ysis.022","Red and processed meat consumption and breast cancer: UK Biobank cohort study and meta-analysis","Cohort",NA,"ni",NA,NA,NA,"ni",NA,NA,"Never","yes_exact","""This research has been conducted using the UK Biobank Resource""","No","No","Yes","Yes","Partially","No","Yes","Yes","Partially","Yes","Yes","No","Partially","Partially","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Partially-External","Partially",NA,"Partially","No","Partially-External","Yes",NA,NA,"Partially",NA,NA,NA,NA,NA,"Yes",NA,"Yes","Partially","No","Yes","Partially","Partially","No","No",NA,NA,"Partially","Partially",NA,NA,"Yes",NA,NA,"No",NA,NA,"Yes",NA,NA,"Yes",NA,NA,"Yes",NA,NA,"Yes",NA,"Partially",NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","No","Partially","Partially","Partially","Partially","Yes",NA,"Yes","Yes","Partially","Yes","Yes","Yes","Yes","No","No",NA,"jill.pell@glasgow.ac.uk","UK",7155,"Breast cancer;Pre-menopausal;Post-menopausal;Diet;Red meat;Processed meat;UK Biobank","""Conflict of interest statement JPP and NS are members of the UK Biobank steering committee. These facts had no bearing on the study. Otherwise the authors have declared that no competing interests, including financial interests, exist.""",2018,"Eur J Cancer","Yes","TRUE",FALSE,"TRUE","FALSE",FALSE
"Boaky2018antsx102","Tobacco exposure and sleep disturbance in 498 208 UK Biobank participants ","Cross-sectional",NA,"ni",NA,NA,NA,"ni",NA,NA,"Never","no","""This study was conducted under the generic approval for UK Biobank""","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partially","Yes","Yes","No",NA,"No","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Partially","No",NA,"Yes",NA,"No","Partially",NA,"No","Yes",NA,"No","No",NA,"Partially","Partially","Partially","Yes","No","Partially","No",NA,NA,NA,"No","Yes",NA,"No","No",NA,"No","No",NA,"No","Yes",NA,"Yes","Yes",NA,"Yes","No",NA,"No",NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","No","Partially",NA,"Partially","No","Yes",NA,"Yes","Yes","No","Partially","Yes","Partially","No","Yes","No",NA,"daniel.mackay@glasgow.ac.uk","UK",NA,"passive smoking, sleep disorders, smoking cessation, tobacco","""Conflict of interest None declared""",2018,"J Public Health (Oxf)","Yes","TRUE",TRUE,NA,"FALSE",FALSE
"Burgo2018ants99-8","Examining the interaction of fast-food outlet exposure and income on diet and obesity: evidence from 51,361 UK Biobank participants","Cross-sectional",NA,"yes",NA,"""Following STROBE reporting guidelines [49] we estimated the separate and combined associations of neighbourhood fast-food outlet proportion and household income on the odds of being obese, and of frequent processed meat consumption using binomial logistic regressions with a single reference category. ""","No","ni",NA,NA,"Never","yes_exact","""This research has been conducted using the UK Biobank Resource.""","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",NA,"Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Partially","Yes",NA,"Yes",NA,"No","Partially",NA,NA,"Yes",NA,NA,"No",NA,"Partially","Yes","Partially","Yes",NA,"Yes","Yes",NA,NA,NA,NA,"Yes",NA,NA,"Yes",NA,NA,"Yes",NA,NA,"Yes",NA,"Yes","Yes",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No",NA,"Yes",NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No",NA,"tb464@medschl.cam.ac.uk","UK",NA,"Fast-food outlet exposure, Household income, Adiposity, Processed meat consumption, Interaction, UK biobank ","""Competing interests None for TB and PM. CS and CW report grants from UK Biobank and the ESRC during conduct of this study.""",2018,"Int J Behav Nutr Phys Act","Yes","TRUE",TRUE,NA,"TRUE",FALSE
"Cassi2017ants7982","The cardio-metabolic impact of taking commonly prescribed analgesic drugs in 133,401 UK Biobank participants","Cross-sectional",NA,"ni",NA,NA,NA,"ni",NA,NA,"Sometimes","yes_almost","""This research was conducted using the UK Biobank resource""","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes",NA,"Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Yes",NA,"Yes","Yes",NA,"No","Yes",NA,"No","Yes",NA,"No","Yes",NA,"Yes","Partially","Partially","Yes","Partially",NA,"Partially",NA,NA,NA,NA,"Partially",NA,"No","Yes",NA,"No","No",NA,"No","Yes",NA,"No","Yes",NA,"Yes","Yes",NA,"No",NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes",NA,NA,NA,"Yes","Yes","Yes","Yes","No","Yes",NA,"No","No",NA,"sophie.cassidy@ncl.ac.uk","UK",NA,NA,"""Competing Interests The authors have declared that no competing interests exist.""",2017,"PLoS One","Yes","TRUE",TRUE,NA,"FALSE",FALSE
"Celis2017tudy0921","Associations Between Diabetes and Both Cardiovascular Disease and All-Cause Mortality Are Modified by Grip Strength: Evidence From UK Biobank, a Prospective Population-Based Cohort Study","Cohort",NA,"ni",NA,NA,NA,"ni",NA,NA,"Never","yes_almost","""This research was conducted by using the UK Biobank resource""","No","Partially","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partially","Partially","Yes","Partially-External","Yes","Partially-External",NA,NA,NA,NA,NA,NA,NA,NA,"Partially-External","Yes",NA,"Yes","Yes","Partially-External","Yes",NA,"No","Partially-External",NA,"No","Yes",NA,"No","Yes",NA,"Yes","Yes","Partially","Yes",NA,"Yes","No","Unsure",NA,NA,NA,"Yes",NA,"No","Yes",NA,"No","No",NA,"No","Yes",NA,"Yes","Yes",NA,"Yes","No",NA,"No","Yes","No","Partially","No",NA,NA,NA,NA,"No","Yes","Yes","Yes","No","Yes","No",NA,"Yes",NA,NA,"Yes","Yes","Partially","Yes","Yes","No","No","Yes","No",NA,"stuart.gray@glasgow.ac.uk","UK",7155,NA,"""Duality of Interest. No potential conflicts of interest relevant to this article were reported.""",2017,"Diabetes Care","Yes","TRUE",TRUE,NA,"FALSE",FALSE
"Celis2018tudy63-1","Associations of discretionary screen time with mortality, cardiovascular disease and cancer are attenuated by strength, fitness and physical activity: findings from the UK Biobank study","Cohort",NA,"ni",NA,NA,NA,"ni",NA,NA,"Never","yes_almost","""This study was conducted using data from the UK Biobank""","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Partially","Yes","Yes","Partially","Partially","Partially","Yes","Partially","Yes","Partially",NA,NA,NA,NA,NA,NA,NA,NA,"Partially-External","Yes",NA,"Yes","Yes","Partially-External","Partially",NA,NA,"Partially-External",NA,NA,"Yes",NA,NA,"Yes",NA,"Yes","Yes","Partially","Yes",NA,"Yes","Partially","No",NA,NA,"Yes","Yes",NA,NA,"Yes",NA,NA,"No",NA,NA,"Yes",NA,NA,"Yes",NA,NA,"Partially",NA,NA,"Yes",NA,"Partially",NA,NA,NA,NA,NA,"No","Yes","Yes","Yes","No","Yes","No",NA,"Yes","Partially",NA,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes",NA,"jason.gill@glasgow.ac.uk","UK",7155,"""Mortality, Cardiovascular, Screen time, Screen-time, Physical activity, Fitness, Strength""","""Competing interests The authors declare that they have no competing interests""",2018,"BMC Med","Yes","TRUE",TRUE,NA,"FALSE",FALSE
"Cleut2014bank.007","Cognitive Functioning in Obstructive Lung Disease: Results from the United Kingdom Biobank","Cross-sectional",NA,"ni",NA,NA,NA,"ni",NA,NA,"Never","yes_almost","""This research was conducted using the United Kingdom Biobank Resource.""","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes",NA,"Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Partially",NA,"Partially-External","Yes",NA,"No","Partially",NA,"No","Yes",NA,"No","No",NA,"Partially","Partially","No","Yes","Partially",NA,"Yes",NA,NA,NA,NA,"Yes",NA,"No","Yes",NA,"No","No",NA,NA,"Yes",NA,"Yes","Yes",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes","Yes","Yes","Partially",NA,"Yes",NA,NA,NA,"Yes","Yes","No","Yes","Partially","No","No","No","No",NA,"fionacleutjens@ciro-horn.nl","The Netherlands",NA,"COPD;cognition;lung function;neuropsychological functioning;self-management;UK Biobank",NA,2014,"J Am Med Dir Assoc","Yes","TRUE",FALSE,"FALSE","FALSE",FALSE
"Cook2018banky224","The prevalence of co-morbidities and their impact on physical activity in people with inflammatory rheumatic diseases compared with the general population: results from the UK Biobank ","Cross-sectional",NA,"ni",NA,NA,NA,"ni",NA,NA,"Never","yes_exact","""This research has been conducted using the UK Biobank resource""","No","Partially","Yes","Partially","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partially",NA,"Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Yes",NA,NA,"Yes",NA,NA,"Partially",NA,NA,"Yes",NA,NA,"No",NA,"Partially","Yes","Partially","Yes",NA,NA,"Partially",NA,NA,NA,"Partially","Yes",NA,NA,"Yes",NA,NA,"Yes",NA,NA,"Yes",NA,"Yes","Yes",NA,"Yes","No",NA,"No",NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Partially","Partially","Yes","No","Yes","No",NA,NA,"Yes",NA,"Yes","Yes","Partially","Partially","Yes","Yes","No","No","No",NA,"Suzanne.Verstappen@manchester.ac.uk","UK",799,"rheumatic diseases, autoinflammatory diseases, co-morbidity, physical activity, population studies","""Disclosure statement: The authors have declared no conflicts of interest.""",2018,"Rheumatology (Oxford)","Yes","TRUE",TRUE,NA,"FALSE",FALSE
"Culle2018bank68-6","Cross-sectional and longitudinal analyses of outdoor air pollution exposure and cognitive function in UK Biobank","Cohort,Cross-sectional",NA,"yes",NA,"""Supplementary Methods  Reporting follows STrengthening the Reporting of OBservational studies in Epidemiology (STROBE) guidelines 1""","Yes","ni",NA,NA,"Sometimes","yes_almost","""This research was conducted using the UK Biobank resource""","No","Partially","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Yes","Yes",NA,"Yes",NA,NA,"Yes",NA,NA,"Yes",NA,NA,"Yes",NA,"Yes","Yes","No","Yes",NA,"Yes","Yes","No",NA,NA,"Yes","Yes",NA,NA,"Yes",NA,NA,"No",NA,NA,"Yes",NA,NA,"Yes",NA,NA,"Yes",NA,NA,"Yes",NA,"Partially",NA,NA,NA,"Yes",NA,"Yes","Yes","Yes","Yes","Yes","Partially","No",NA,"Partially","Yes",NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",NA,"breda.cullen@glasgow.ac.uk","UK",11332,NA,"""Competing Interests J.P.P. is a member of the UK Biobank Steering Committee. The authors declare no other relationships or activities that could appear to have influenced the submitted work.""",2018,"Sci Rep","Yes","TRUE",TRUE,NA,"FALSE",FALSE
"Cumbe2015omes.040","Laser refractive surgery in the UK Biobank study: Frequency, distribution by sociodemographic factors, and general health, happiness, and social participation outcomes","Cross-sectional",NA,"ni",NA,NA,NA,"ni",NA,NA,"Never","yes_almost","""This research was performed using the UK Biobank Resource.""","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partially","Yes","Yes","Yes",NA,"Yes","Partially","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,"Yes","Yes",NA,"No","Yes",NA,"No","Yes",NA,"No","Yes",NA,"Yes","Yes","Partially","Yes",NA,NA,"No",NA,NA,NA,NA,"Yes",NA,"No","Yes",NA,"No","No",NA,"No","Partially",NA,"Partially","Yes",NA,NA,"Partially",NA,"No",NA,NA,NA,NA,NA,NA,"Partially","Yes","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"Yes","Yes","Partially","Yes","Yes","Yes","No","No","No",NA,"j.rahi@ucl.ac.uk","UK",NA,NA,NA,2015,"J Cataract Refract Surg","Yes","FALSE",FALSE,"FALSE","FALSE",FALSE
