variable,question,qualtric_var
article_id,article_id. Copy and paste in the article ID from the csv file (do not put in quotes),Q2
title,title. Copy and paste the article's title from the online version of the article (do not put in quotes),Q3
initials,initials. Select your initials,Q4
designs,designs. Indicate what the article's designs are from the CSV file.,Q5
predict,predict. Does the article contain a prediction model analysis? (leave blank if no),Q6
strobe,strobe. Did the authors state that they followed STROBE? (Search article & relevant supplementary material for all these terms: 'report' | 'guideline' | 'checklist' | 'STROBE' | 'followed' | 'equator'| 'Elm') - Selected Choice,Q7
other_guidelines,strobe. Did the authors state that they followed STROBE? (Search article & relevant supplementary material for all these terms: 'report' | 'guideline' | 'checklist' | 'STROBE' | 'followed' | 'equator'| 'Elm') - Other reporting guidelines used - they state they used reporting guidelines other than STROBE. (please specify which reporting guidelines they said they used) - Text,Q7_4_TEXT
strobe_ev,strobe_ev. Copy and paste in the authors statement regarding their use of reporting guidelines,Q8
strobe_cite,strobe_cite. If the authors do follow STROBE or other reporting guidelines do they cite these guidelines?,Q9
reg,reg. Do the authors state that the studies contained in the article were registered? (Search article & relevant supplementary material for all these terms: 'regist' | 'protocol' | 'plan' | 'publis'. Registrations do not include UK Biobank applications which may be referred to as protocols or registrations.),Q10
reg_id,"reg_id. Copy and paste in the registration's reference number, DOI or other identifier (leave blank if none provided)",Q11
reg_ev,reg_ev. Copy and paste in the authors' statement regarding registration,Q12
var_id,"var_id. Do the authors reference the UK Biobank ID numbers for all the variables? (Examine any very large numbers found in the methods, results and all supplementary material)",Q13
ukb_credit,ukb_credit. Do the authors state that “This research has been conducted using the UK Biobank Resource.”? (Search article & relevant supplementary material for all these terms: 'UK' | 'Resource'),Q14
ukb_credit_ev,ukb_credit_ev. Copy and paste the author's reference to the UK Biobank (if there are multiple references copy and paste the one that closest resembles “This research has been conducted using the UK Biobank Resource.”),Q15
code,"code. Do the authors provide their code for their analyses of the UK BIobank? (Search the article and supplementary material for “code” |  “availab” | “http”| “www” | “figshare” | ""github” | ""zenodo"")",Q16
s1a,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 1a. Indicate the study’s design as cross-sectional, cohort or case-control in the title or the abstract",Q18_1
s1a_ev,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 1a. Indicate the study’s design as cross-sectional, cohort or case-control in the title or the abstract - Text",Q18_1_TEXT
s1b_i,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 1b_i. Provide in the abstract an informative and balanced summary of what was done,Q18_2
s1b_i_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 1b_i. Provide in the abstract an informative and balanced summary of what was done - Text,Q18_2_TEXT
s1b_ii,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 1b_ii. Provide in the abstract an informative and balanced summary of what was found,Q18_3
s1b_ii_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 1b_ii. Provide in the abstract an informative and balanced summary of what was found - Text,Q18_3_TEXT
s2_i,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 2_i. Explain the scientific background for the investigation being reported,Q18_4
s2_i_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 2_i. Explain the scientific background for the investigation being reported - Text,Q18_4_TEXT
s2_ii,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 2_ii. Explain the rationale for the investigation being reported,Q18_5
s2_ii_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 2_ii. Explain the rationale for the investigation being reported - Text,Q18_5_TEXT
s3,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 3. State specific objectives, including any prespecified hypotheses",Q18_6
s3_ev,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 3. State specific objectives, including any prespecified hypotheses - Text",Q18_6_TEXT
s4,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 4. Present key elements of study design early in the paper,Q18_7
s4_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 4. Present key elements of study design early in the paper - Text,Q18_7_TEXT
s5_i,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_i. Describe the setting,Q18_8
s5_i_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_i. Describe the setting - Text,Q18_8_TEXT
s5_ii,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_ii. Describe the locations,Q18_9
s5_ii_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_ii. Describe the locations - Text,Q18_9_TEXT
s5_iii,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_iii. Describe the relevant dates including periods of recruitment,Q18_10
s5_iii_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_iii. Describe the relevant dates including periods of recruitment - Text,Q18_10_TEXT
s5_iv,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_iv.  Describe the relevant dates including periods of exposure,Q18_11
s5_iv_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_iv.  Describe the relevant dates including periods of exposure - Text,Q18_11_TEXT
s5_v,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_v. Describe the relevant dates including periods of follow-up,Q18_12
s5_v_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_v. Describe the relevant dates including periods of follow-up - Text,Q18_12_TEXT
s5_vi,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_vi. Describe the relevant dates including periods of data collection,Q18_13
s5_vi_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_vi. Describe the relevant dates including periods of data collection - Text,Q18_13_TEXT
s6a_i_coh_cs,Indicate if the authors report the following items for all the cross-sectional and cohort studies in the article - 6a_i_coh_cs. Cross-sectional and cohort studies - Give the eligibility criteria,Q19_1
s6a_i_coh_cs_ev,Indicate if the authors report the following items for all the cross-sectional and cohort studies in the article - 6a_i_coh_cs. Cross-sectional and cohort studies - Give the eligibility criteria - Text,Q19_1_TEXT
s6a_ii_coh_cs,Indicate if the authors report the following items for all the cross-sectional and cohort studies in the article - 6a_ii_coh_cs. Cross-sectional and cohort studies - Give the sources of participants,Q19_2
s6a_ii_coh_cs_ev,Indicate if the authors report the following items for all the cross-sectional and cohort studies in the article - 6a_ii_coh_cs. Cross-sectional and cohort studies - Give the sources of participants - Text,Q19_2_TEXT
s6a_iii_coh_cs,Indicate if the authors report the following items for all the cross-sectional and cohort studies in the article - 6a_iii_coh_cs. Cross-sectional and cohort studies - Give the methods of selection of participants,Q19_3
s6a_iii_coh_cs_ev,Indicate if the authors report the following items for all the cross-sectional and cohort studies in the article - 6a_iii_coh_cs. Cross-sectional and cohort studies - Give the methods of selection of participants - Text,Q19_3_TEXT
s6a_iv_coh,Indicate if the authors report the following items for all the cohort studies in the article - 6a_iv_coh. Cohort study - Describe methods of follow-up,Q20_1
s6a_iv_coh_ev,Indicate if the authors report the following items for all the cohort studies in the article - 6a_iv_coh. Cohort study - Describe methods of follow-up - Text,Q20_1_TEXT
s6b_i_coh,"Indicate if the authors report the following items for all the cohort studies in the article - 6b_i_coh. Cohort study - For matched studies, give matching criteria",Q21_1
s6b_i_coh_ev,"Indicate if the authors report the following items for all the cohort studies in the article - 6b_i_coh. Cohort study - For matched studies, give matching criteria - Text",Q21_1_TEXT
s6b_ii_coh,"Indicate if the authors report the following items for all the cohort studies in the article - 6b_ii_coh. Cohort study - For matched studies, give number of exposed and unexposed",Q21_2
s6b_ii_coh_ev,"Indicate if the authors report the following items for all the cohort studies in the article - 6b_ii_coh. Cohort study - For matched studies, give number of exposed and unexposed - Text",Q21_2_TEXT
s6a_i_cc,Indicate if the authors report the following items for all the case-control studies in the article - 6a_i_cc. Case-control study - Give the eligibility criteria,Q22_1
s6a_i_cc_ev,Indicate if the authors report the following items for all the case-control studies in the article - 6a_i_cc. Case-control study - Give the eligibility criteria - Text,Q22_1_TEXT
s6a_ii_cc,Indicate if the authors report the following items for all the case-control studies in the article - 6a_ii_cc. Case-control study - Give the sources of case ascertainment and control selection,Q22_2
s6a_ii_cc_ev,Indicate if the authors report the following items for all the case-control studies in the article - 6a_ii_cc. Case-control study - Give the sources of case ascertainment and control selection - Text,Q22_2_TEXT
s6a_iii_cc,Indicate if the authors report the following items for all the case-control studies in the article - 6a_iii_cc. Case-control study - Give the methods of case ascertainment and control selection.,Q22_3
s6a_iii_cc_ev,Indicate if the authors report the following items for all the case-control studies in the article - 6a_iii_cc. Case-control study - Give the methods of case ascertainment and control selection. - Text,Q22_3_TEXT
s6a_iv_cc,Indicate if the authors report the following items for all the case-control studies in the article - 6a_iv_cc. Case-control study - Give the rationale for the choice of cases and controls,Q22_4
s6a_iv_cc_ev,Indicate if the authors report the following items for all the case-control studies in the article - 6a_iv_cc. Case-control study - Give the rationale for the choice of cases and controls - Text,Q22_4_TEXT
s6b_i_cc,"Indicate if the authors report the following items for all the case-control studies in the article - 6b_i_cc. Case-control study - For matched studies, give matching criteria",Q23_1
s6b_i_cc_ev,"Indicate if the authors report the following items for all the case-control studies in the article - 6b_i_cc. Case-control study - For matched studies, give matching criteria - Text",Q23_1_TEXT
s6b_ii_cc,"Indicate if the authors report the following items for all the case-control studies in the article - 6b_ii_cc. Case-control study - For matched studies, give the number of controls per case",Q23_2
s6b_ii_cc_ev,"Indicate if the authors report the following items for all the case-control studies in the article - 6b_ii_cc. Case-control study - For matched studies, give the number of controls per case - Text",Q23_2_TEXT
s7_i,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 7_i. Clearly define all outcomes,Q24_1
s7_i_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 7_i. Clearly define all outcomes - Text,Q24_1_TEXT
s7_ii,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 7_ii. Clearly define all exposures,Q24_2
s7_ii_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 7_ii. Clearly define all exposures - Text,Q24_2_TEXT
s7_iii,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 7_iii. Clearly define all predictors,Q24_3
s7_iii_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 7_iii. Clearly define all predictors - Text,Q24_3_TEXT
s7_iv,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 7_iv. Clearly define all  potential confounders,Q24_4
s7_iv_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 7_iv. Clearly define all  potential confounders - Text,Q24_4_TEXT
s7_v,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 7_v. Clearly define all effect modifiers,Q24_5
s7_v_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 7_v. Clearly define all effect modifiers - Text,Q24_5_TEXT
s7_vi,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 7_vi. Give diagnostic criteria, if applicable",Q24_6
s7_vi_ev,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 7_vi. Give diagnostic criteria, if applicable - Text",Q24_6_TEXT
s8starred_i,"_ - 8starred_i. For each variable of interest, give sources of data",Q25_1
s8starred_i_ev,"_ - 8starred_i. For each variable of interest, give sources of data - Text",Q25_1_TEXT
s8_star_i_cc,_ - 8_star_i_cc. Case-control studies - give the information separately for cases and controls,Q25_2
s8_star_i_cc_ev,_ - 8_star_i_cc. Case-control studies - give the information separately for cases and controls - Text,Q25_2_TEXT
s8_star_i_coh_cs,_ - 8_star_i_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups,Q25_3
s8_star_i_coh_cs_ev,_ - 8_star_i_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups - Text,Q25_3_TEXT
s8starred_ii,"_ - 8starred_ii. For each variable of interest, give details of methods of assessment (measurement)",Q26_1
s8starred_ii_ev,"_ - 8starred_ii. For each variable of interest, give details of methods of assessment (measurement) - Text",Q26_1_TEXT
s8_star_ii_cc,_ - 8_star_ii_cc. Case-control studies - give the information separately for cases and controls,Q26_2
s8_star_ii_cc_ev,_ - 8_star_ii_cc. Case-control studies - give the information separately for cases and controls - Text,Q26_2_TEXT
s8_star_ii_coh_cs,_ - 8_star_ii_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups,Q26_3
s8_star_ii_coh_cs_ev,_ - 8_star_ii_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups - Text,Q26_3_TEXT
s8starred_iii,_ - 8starred_iii. Describe comparability of assessment methods if there is more than one group,Q27_1
s8starred_iii_ev,_ - 8starred_iii. Describe comparability of assessment methods if there is more than one group - Text,Q27_1_TEXT
s8_star_iii_cc,_ - 8_star_iii_cc. Case-control studies - give the information separately for cases and controls,Q27_2
s8_star_iii_cc_ev,_ - 8_star_iii_cc. Case-control studies - give the information separately for cases and controls - Text,Q27_2_TEXT
s8_star_iii_coh_cs,_ - 8_star_iii_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups,Q27_3
s8_star_iii_coh_cs_ev,_ - 8_star_iii_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups - Text,Q27_3_TEXT
s9,_ - 9. Describe any efforts to address potential sources of bias (this does not include  any adjustment for confounders),Q28_1
s9_ev,_ - 9. Describe any efforts to address potential sources of bias (this does not include  any adjustment for confounders) - Text,Q28_1_TEXT
s10,_ - 10. Explain how the study size was arrived at,Q28_2
s10_ev,_ - 10. Explain how the study size was arrived at - Text,Q28_2_TEXT
s11_i,_ - 11_i. Explain how quantitative variables were handled in the analyses,Q28_3
s11_i_ev,_ - 11_i. Explain how quantitative variables were handled in the analyses - Text,Q28_3_TEXT
s11_ii,"_ - 11_ii. If applicable, describe which groupings were chosen",Q28_4
s11_ii_ev,"_ - 11_ii. If applicable, describe which groupings were chosen - Text",Q28_4_TEXT
s11_iii,"_ - 11_iii. If applicable, describe why groupings were chosen",Q28_5
s11_iii_ev,"_ - 11_iii. If applicable, describe why groupings were chosen - Text",Q28_5_TEXT
s12a,"_ - 12a. Describe all statistical methods, including those used to control for confounding",Q28_6
s12a_ev,"_ - 12a. Describe all statistical methods, including those used to control for confounding - Text",Q28_6_TEXT
s12b_i,_ - 12b_i. Describe any methods used to examine subgroups,Q28_7
s12b_i_ev,_ - 12b_i. Describe any methods used to examine subgroups - Text,Q28_7_TEXT
s12b_ii,_ - 12b_ii. Describe any methods used to examine interactions,Q28_8
s12b_ii_ev,_ - 12b_ii. Describe any methods used to examine interactions - Text,Q28_8_TEXT
s12c,_ - 12c. Explain how missing data were addressed,Q28_9
s12c_ev,_ - 12c. Explain how missing data were addressed - Text,Q28_9_TEXT
s12d_coh,"_ - 12d_coh. Cohort study - If applicable, explain how loss to follow-up was addressed",Q29_1
s12d_coh_ev,"_ - 12d_coh. Cohort study - If applicable, explain how loss to follow-up was addressed - Text",Q29_1_TEXT
s12d_cc,"_ - 12d_cc. Case-control study-If applicable, explain how matching of cases and controls was addressed",Q30_1
s12d_cc_ev,"_ - 12d_cc. Case-control study-If applicable, explain how matching of cases and controls was addressed - Text",Q30_1_TEXT
s12d_cs,"_ - 12d_cs. Cross-sectional study-If applicable, describe analytical methods taking account of sampling strategy",Q31_1
s12d_cs_ev,"_ - 12d_cs. Cross-sectional study-If applicable, describe analytical methods taking account of sampling strategy - Text",Q31_1_TEXT
s12e,_ - 12e. Describe any sensitivity analyses,Q32_1
s12e_ev,_ - 12e. Describe any sensitivity analyses - Text,Q32_1_TEXT
s13starreda,"_ - 13starreda. Report numbers of individuals at each stage of the present study-eg numbers potentially eligible, examined for eligibility, confirmed eligible, included in the study, completing follow-up, and analysed",Q32_2
s13starreda_ev,"_ - 13starreda. Report numbers of individuals at each stage of the present study-eg numbers potentially eligible, examined for eligibility, confirmed eligible, included in the study, completing follow-up, and analysed - Text",Q32_2_TEXT
s13_star_a_cc,_ - 13_star_a_cc. Case-control studies - give the information separately for cases and controls,Q32_3
s13_star_a_cc_ev,_ - 13_star_a_cc. Case-control studies - give the information separately for cases and controls - Text,Q32_3_TEXT
s13_star_a_coh_cs,_ - 13_star_a_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups,Q32_4
s13_star_a_coh_cs_ev,_ - 13_star_a_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups - Text,Q32_4_TEXT
s13starredb,_ - 13starredb. Give reasons for non-participation at each stage of the present study,Q32_5
s13starredb_ev,_ - 13starredb. Give reasons for non-participation at each stage of the present study - Text,Q32_5_TEXT
s13_star_b_cc,_ - 13_star_b_cc. Case-control studies - give the information separately for cases and controls,Q32_6
s13_star_b_cc_ev,_ - 13_star_b_cc. Case-control studies - give the information separately for cases and controls - Text,Q32_6_TEXT
s13_star_b_coh_cs,_ - 13_star_b_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups,Q32_7
s13_star_b_coh_cs_ev,_ - 13_star_b_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups - Text,Q32_7_TEXT
s13starredc,_ - 13starredc. Use a flow diagram if appropriate,Q32_8
s13starredc_ev,_ - 13starredc. Use a flow diagram if appropriate - Text,Q32_8_TEXT
s13_star_c_cc,_ - 13_star_c_cc. Case-control studies - give the information separately for cases and controls,Q32_9
s13_star_c_cc_ev,_ - 13_star_c_cc. Case-control studies - give the information separately for cases and controls - Text,Q32_9_TEXT
s13_star_c_coh_cs,_ - 13_star_c_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups,Q32_10
s13_star_c_coh_cs_ev,_ - 13_star_c_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups - Text,Q32_10_TEXT
s14starreda_i,"_ - 14starreda_i. Give characteristics of study participants (eg demographic, clinical, social)",Q32_11
s14starreda_i_ev,"_ - 14starreda_i. Give characteristics of study participants (eg demographic, clinical, social) - Text",Q32_11_TEXT
s14_star_a_i_cc,_ - 14_star_a_i_cc. Case-control studies - give the information separately for cases and controls,Q32_12
s14_star_a_i_cc_ev,_ - 14_star_a_i_cc. Case-control studies - give the information separately for cases and controls - Text,Q32_12_TEXT
s14_star_a_i_coh_cs,_ - 14_star_a_i_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups,Q32_13
s14_star_a_i_coh_cs_ev,_ - 14_star_a_i_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups - Text,Q32_13_TEXT
s14starreda_ii,_ - 14starreda_ii. Give information on exposures and potential confounders,Q32_14
s14starreda_ii_ev,_ - 14starreda_ii. Give information on exposures and potential confounders - Text,Q32_14_TEXT
s14_star_a_ii_cc,_ - 14_star_a_ii_cc. Case-control studies - give the information separately for cases and controls,Q32_15
s14_star_a_ii_cc_ev,_ - 14_star_a_ii_cc. Case-control studies - give the information separately for cases and controls - Text,Q32_15_TEXT
s14_star_a_ii_coh_cs,_ - 14_star_a_ii_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups,Q32_16
s14_star_a_ii_coh_cs_ev,_ - 14_star_a_ii_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups - Text,Q32_16_TEXT
s14starredb,_ - 14starredb. Indicate number of participants with missing data for each variable of interest,Q32_17
s14starredb_ev,_ - 14starredb. Indicate number of participants with missing data for each variable of interest - Text,Q32_17_TEXT
s14_star_b_cc,_ - 14_star_b_cc. Case-control studies - give the information separately for cases and controls,Q32_18
s14_star_b_cc_ev,_ - 14_star_b_cc. Case-control studies - give the information separately for cases and controls - Text,Q32_18_TEXT
s14_star_b_coh_cs,_ - 14_star_b_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups,Q32_19
s14_star_b_coh_cs_ev,_ - 14_star_b_coh_cs. Cohort and cross-sectional studies - give the information separately for exposed and unexposed groups - Text,Q32_19_TEXT
s14starredc_coh,"Indicate if the authors report the following items for all the cohort studies in the article - 14starredc_coh. Cohort study - Summarise follow-up time (eg, average and total amount)",Q33_1
s14starredc_coh_ev,"Indicate if the authors report the following items for all the cohort studies in the article - 14starredc_coh. Cohort study - Summarise follow-up time (eg, average and total amount) - Text",Q33_1_TEXT
s14_star_c_coh,Indicate if the authors report the following items for all the cohort studies in the article - 14_star_c_coh. Cohort studies - give the information separately for exposed and unexposed groups,Q33_2
s14_star_c_coh_ev,Indicate if the authors report the following items for all the cohort studies in the article - 14_star_c_coh. Cohort studies - give the information separately for exposed and unexposed groups - Text,Q33_2_TEXT
s15starred_coh,Indicate if the authors report the following items for all the cohort studies in the article - 15starred_coh. Cohort study-Report numbers of outcome events or summary measures over time,Q33_3
s15starred_coh_ev,Indicate if the authors report the following items for all the cohort studies in the article - 15starred_coh. Cohort study-Report numbers of outcome events or summary measures over time - Text,Q33_3_TEXT
