"variable","question","qual_var_name","import_num"
"StartDate","Start Date","StartDate",1
"EndDate","End Date","EndDate",2
"Status","Response Type","Status",3
"Progress","Progress","Progress",4
"Duration (in seconds)","Duration (in seconds)","Duration (in seconds)",5
"Finished","Finished","Finished",6
"RecordedDate","Recorded Date","RecordedDate",7
"ResponseId","Response ID","ResponseId",8
"DistributionChannel","Distribution Channel","DistributionChannel",9
"UserLanguage","User Language","UserLanguage",10
"article_id","article_id. Copy and paste in the article ID from the csv file (do not put in quotes)","Q2",11
"title","title. Copy and paste the article's title from the online version of the article (do not put in quotes)","Q3",12
"initials","initials. Select your initials","Q4",13
"designs","designs. Indicate what the article's designs are from the CSV file.","Q5",14
"predict","predict. Does the article contain a prediction model analysis? (leave blank if no)","Q6",15
"strobe","strobe. Did the authors state that they followed STROBE? (Search article & relevant supplementary material for all these terms: 'report' | 'guideline' | 'checklist' | 'STROBE' | 'followed' | 'equator'| 'Elm') - Selected Choice","Q7",16
"strobe","strobe. Did the authors state that they followed STROBE? (Search article & relevant supplementary material for all these terms: 'report' | 'guideline' | 'checklist' | 'STROBE' | 'followed' | 'equator'| 'Elm') - Other reporting guidelines used - they state they used reporting guidelines other than STROBE. (please specify which reporting guidelines they said they used) - Text","Q7_4_TEXT",17
"strobe_ev","strobe_ev. Copy and paste in the authors statement regarding their use of reporting guidelines","Q8",18
"strobe_cite","strobe_cite. If the authors do follow STROBE or other reporting guidelines do they cite these guidelines?","Q9",19
"reg","reg. Do the authors state that the studies contained in the article were registered? (Search article & relevant supplementary material for all these terms: 'regist' | 'protocol' | 'plan' | 'publis'. Registrations do not include UK Biobank applications which may be referred to as protocols or registrations.)","Q10",20
"reg_id","reg_id. Copy and paste in the registration's reference number, DOI or other identifier (leave blank if none provided)","Q11",21
"reg_ev","reg_ev. Copy and paste in the authors' statement regarding registration","Q12",22
"var_id","var_id. Do the authors reference the UK Biobank ID numbers for all the variables? (Examine any very large numbers found in the methods, results and all supplementary material)","Q13",23
"ukb_credit","ukb_credit. Do the authors state that “This research has been conducted using the UK Biobank Resource.”? (Search article & relevant supplementary material for all these terms: 'UK' | 'Resource')","Q14",24
"ukb_credit_ev","ukb_credit_ev. Copy and paste the author's reference to the UK Biobank (if there are multiple references copy and paste the one that closest resembles “This research has been conducted using the UK Biobank Resource.”)","Q15",25
"code","code. Do the authors provide their code for their analyses of the UK BIobank? (Search the article and supplementary material for “code” |  “availab” | “http”| “www” | “figshare” | ""github” | ""zenodo"")","Q16",26
"1a","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 1a. Indicate the study’s design as cross-sectional, cohort or case-control in the title or the abstract","Q18_1",27
"1a_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 1a. Indicate the study’s design as cross-sectional, cohort or case-control in the title or the abstract - Text","Q18_1_TEXT",28
"1b_i","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 1b_i. Provide in the abstract an informative and balanced summary of what was done","Q18_2",29
"1b_i_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 1b_i. Provide in the abstract an informative and balanced summary of what was done - Text","Q18_2_TEXT",30
"1b_ii","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 1b_ii. Provide in the abstract an informative and balanced summary of what was found","Q18_3",31
"1b_ii_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 1b_ii. Provide in the abstract an informative and balanced summary of what was found - Text","Q18_3_TEXT",32
"2_i","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 2_i. Explain the scientific background for the investigation being reported","Q18_4",33
"2_i_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 2_i. Explain the scientific background for the investigation being reported - Text","Q18_4_TEXT",34
"2_ii","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 2_ii. Explain the rationale for the investigation being reported","Q18_5",35
"2_ii_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 2_ii. Explain the rationale for the investigation being reported - Text","Q18_5_TEXT",36
"3","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 3. State specific objectives, including any prespecified hypotheses","Q18_6",37
"3_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 3. State specific objectives, including any prespecified hypotheses - Text","Q18_6_TEXT",38
"4","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 4. Present key elements of study design early in the paper","Q18_7",39
"4_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 4. Present key elements of study design early in the paper - Text","Q18_7_TEXT",40
"5_i","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_i. Describe the setting","Q18_8",41
"5_i_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_i. Describe the setting - Text","Q18_8_TEXT",42
"5_ii","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_ii. Describe the locations","Q18_9",43
"5_ii_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_ii. Describe the locations - Text","Q18_9_TEXT",44
"5_iii","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_iii. Describe the relevant dates including periods of recruitment","Q18_10",45
"5_iii_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_iii. Describe the relevant dates including periods of recruitment - Text","Q18_10_TEXT",46
"5_iv","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_iv.  Describe the relevant dates including periods of exposure","Q18_11",47
"5_iv_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_iv.  Describe the relevant dates including periods of exposure - Text","Q18_11_TEXT",48
"5_v","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_v. Describe the relevant dates including periods of follow-up","Q18_12",49
"5_v_ev","Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 5_v. Describe the relevant dates including periods of follow-up - Text","Q18_12_TEXT",50
