"","level","Overall"
"n","","32"
"designs (%)","Case-control","2 (6.2)"
"","Cohort","11 (34.4)"
"","Cohort,Cross-sectional","1 (3.1)"
"","Cross-sectional","18 (56.2)"
"strobe (%)","ni","29 (90.6)"
"","yes","3 (9.4)"
"strobe_cite (%)","No","2 (66.7)"
"","Yes","1 (33.3)"
"reg (%)","ni","32 (100.0)"
"var_id (%)","Never","27 (84.4)"
"","Sometimes","5 (15.6)"
"ukb_credit (%)","no","5 (15.6)"
"","yes_almost","11 (34.4)"
"","yes_exact","16 (50.0)"
"code (%)","No","30 (93.8)"
"","Yes","2 (6.2)"
"country (%)","Finland","1 (3.1)"
"","Hong Kong","1 (3.1)"
"","The Netherlands","1 (3.1)"
"","UK","27 (84.4)"
"","UK;South Africa","1 (3.1)"
"","USA","1 (3.1)"
"year (%)","2014","2 (6.2)"
"","2015","4 (12.5)"
"","2016","4 (12.5)"
"","2017","8 (25.0)"
"","2018","13 (40.6)"
"","2019","1 (3.1)"
"access_supp (%)","FALSE","7 (21.9)"
"","TRUE","25 (78.1)"
"open_access_publisher (%)","FALSE","7 (21.9)"
"","TRUE","25 (78.1)"
"open_access_other (%)","FALSE","3 (42.9)"
"","TRUE","4 (57.1)"
"correction (%)","FALSE","30 (93.8)"
"","TRUE","2 (6.2)"
"retraction (%)","FALSE","32 (100.0)"
"ukb_app_pres (%)","FALSE","17 (53.1)"
"","TRUE","15 (46.9)"
"email_pres (%)","TRUE","32 (100.0)"
"keywords_pres (%)","FALSE","14 (43.8)"
"","TRUE","18 (56.2)"
"coi_pres (%)","FALSE","3 (9.4)"
"","TRUE","29 (90.6)"
